"",BBK01.OEHJ01P,BBK01.OEHJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:16,
2002-01,1.185,
2002-04,1.237,
2002-07,1.247,
2002-10,1.271,
2003-01,1.216,
2003-04,1.231,
2003-07,1.249,
2003-10,1.468,
2004-01,1.424,
2004-04,1.493,
2004-07,1.490,
2004-10,1.554,
2005-01,1.544,
2005-04,1.548,
2005-07,1.509,
2005-10,1.551,
2006-01,1.486,
2006-04,1.512,
2006-07,1.661,
2006-10,1.748,
2007-01,1.727,
2007-04,1.721,
2007-07,1.899,
2007-10,1.891,
2008-01,1.981,
2008-04,1.895,
2008-07,2.022,
2008-10,1.921,
2009-01,1.844,
2009-04,1.968,
2009-07,1.853,
2009-10,1.860,
2010-01,1.759,
2010-04,1.725,
2010-07,1.660,
2010-10,1.822,
2011-01,1.594,
2011-04,1.542,
2011-07,1.519,
2011-10,1.543,
2012-01,1.434,
2012-04,1.467,
2012-07,1.576,
2012-10,1.723,
2013-01,1.768,
2013-04,1.666,
2013-07,1.712,
2013-10,1.725,
2014-01,1.674,
2014-04,1.668,
2014-07,1.748,
