"",BBK01.OECO06L,BBK01.OECO06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:50,
2002-01,1.717,
2002-04,1.126,
2002-07,1.110,
2002-10,1.254,
2003-01,1.258,
2003-04,1.262,
2003-07,1.461,
2003-10,1.478,
2004-01,1.433,
2004-04,1.446,
2004-07,1.723,
2004-10,1.777,
2005-01,4.753,
2005-04,4.768,
2005-07,4.713,
2005-10,4.663,
2006-01,4.619,
2006-04,4.508,
2006-07,4.396,
2006-10,4.346,
2007-01,4.484,
2007-04,4.420,
2007-07,4.310,
2007-10,4.322,
2008-01,4.328,
2008-04,4.458,
2008-07,4.324,
2008-10,4.491,
2009-01,4.771,
2009-04,5.306,
2009-07,6.030,
2009-10,7.033,
2010-01,8.151,
2010-04,6.285,
2010-07,6.353,
2010-10,6.159,
2011-01,6.382,
2011-04,5.352,
2011-07,5.319,
2011-10,5.294,
2012-01,5.891,
2012-04,5.783,
2012-07,5.730,
2012-10,5.779,
2013-01,5.538,
2013-04,5.428,
2013-07,5.273,
2013-10,5.226,
2014-01,5.135,
2014-04,5.029,
2014-07,5.178,
