"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.D.F5___ES._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Equity in the narrower sense / New investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:03,
1991-01,2355.195,
1991-02,1383.871,
1991-03,2086.982,
1991-04,1354.574,
1991-05,963.791,
1991-06,1667.197,
1991-07,2362.573,
1991-08,805.746,
1991-09,1059.661,
1991-10,845.094,
1991-11,1865.023,
1991-12,5794.600,
1992-01,4427.173,
1992-02,947.075,
1992-03,1348.677,
1992-04,1061.653,
1992-05,954.413,
1992-06,1346.397,
1992-07,1524.034,
1992-08,919.719,
1992-09,1898.458,
1992-10,1045.699,
1992-11,1502.562,
1992-12,4265.353,
1993-01,1386.767,
1993-02,601.243,
1993-03,1821.605,
1993-04,816.996,
1993-05,950.965,
1993-06,1134.792,
1993-07,1208.046,
1993-08,1073.056,
1993-09,1654.734,
1993-10,883.491,
1993-11,1004.252,
1993-12,4847.862,
1994-01,1326.173,
1994-02,757.931,
1994-03,2034.573,
1994-04,1046.119,
1994-05,1192.143,
1994-06,1869.882,
1994-07,988.742,
1994-08,988.867,
1994-09,1584.532,
1994-10,1221.060,
1994-11,689.974,
1994-12,6142.938,
1995-01,6411.698,
1995-02,1382.129,
1995-03,3382.734,
1995-04,3240.939,
1995-05,1282.789,
1995-06,3253.138,
1995-07,1859.010,
1995-08,1788.842,
1995-09,1780.554,
1995-10,1038.015,
1995-11,3810.050,
1995-12,8061.462,
1996-01,2622.003,
1996-02,1369.063,
1996-03,1310.053,
1996-04,1072.526,
1996-05,1319.353,
1996-06,1392.089,
1996-07,3129.819,
1996-08,1505.439,
1996-09,920.594,
1996-10,1856.736,
1996-11,3424.896,
1996-12,7217.595,
1997-01,4480.199,
1997-02,1592.417,
1997-03,1730.560,
1997-04,1108.294,
1997-05,1134.352,
1997-06,2140.625,
1997-07,4326.106,
1997-08,1817.453,
1997-09,4334.361,
1997-10,1902.890,
1997-11,2058.847,
1997-12,9920.870,
1998-01,4363.548,
1998-02,2406.790,
1998-03,1431.937,
1998-04,6561.231,
1998-05,2172.600,
1998-06,4971.352,
1998-07,3286.789,
1998-08,1928.025,
1998-09,6154.266,
1998-10,3008.267,
1998-11,29746.052,
1998-12,9357.431,
1999-01,1814.548,
1999-02,2099.555,
1999-03,7230.584,
1999-04,2800.279,
1999-05,7111.606,
1999-06,17436.911,
1999-07,3093.167,
1999-08,6260.619,
1999-09,3806.593,
1999-10,18287.103,
1999-11,2913.031,
1999-12,42359.560,
2000-01,5324.738,
2000-02,8096.645,
2000-03,10131.086,
2000-04,9189.474,
2000-05,6738.308,
2000-06,11066.265,
2000-07,24140.066,
2000-08,49887.444,
2000-09,11416.487,
2000-10,13830.830,
2000-11,7258.088,
2000-12,25712.925,
2001-01,10507.449,
2001-02,7242.624,
2001-03,7394.168,
2001-04,4295.976,
2001-05,38667.343,
2001-06,5908.244,
2001-07,8415.887,
2001-08,5103.256,
2001-09,10129.406,
2001-10,6965.007,
2001-11,10835.889,
2001-12,14373.235,
2002-01,11154.196,
2002-02,2900.866,
2002-03,4824.358,
2002-04,5777.031,
2002-05,8848.596,
2002-06,13025.915,
2002-07,7777.347,
2002-08,5513.424,
2002-09,8983.835,
2002-10,2420.728,
2002-11,3802.019,
2002-12,26594.401,
2003-01,5194.862,
2003-02,3293.454,
2003-03,5539.799,
2003-04,3755.463,
2003-05,6400.334,
2003-06,3206.762,
2003-07,3581.478,
2003-08,3017.614,
2003-09,8926.723,
2003-10,3042.355,
2003-11,5235.803,
2003-12,32221.341,
2004-01,10536.919,
2004-02,7213.198,
2004-03,3927.426,
2004-04,2308.031,
2004-05,2231.491,
2004-06,2316.899,
2004-07,1743.112,
2004-08,2050.583,
2004-09,4175.770,
2004-10,3176.728,
2004-11,9702.997,
2004-12,16477.815,
2005-01,2026.529,
2005-02,2008.141,
2005-03,2341.718,
2005-04,3577.242,
2005-05,3473.625,
2005-06,2829.722,
2005-07,2379.218,
2005-08,3595.428,
2005-09,10654.737,
2005-10,9010.848,
2005-11,9734.500,
2005-12,31154.543,
2006-01,7898.931,
2006-02,2399.868,
2006-03,3719.695,
2006-04,5613.491,
2006-05,10306.195,
2006-06,9497.136,
