"",BBNZ1.Q.DE.N.I.0103.A,BBNZ1.Q.DE.N.I.0103.A_FLAGS
"",Germany / National accounts / Use of GDP / Private consumption / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:32,
1991-01,73.90,
1991-04,74.79,
1991-07,75.79,
1991-10,77.09,
1992-01,77.71,
1992-04,78.58,
1992-07,78.75,
1992-10,79.16,
1993-01,80.94,
1993-04,81.53,
1993-07,81.52,
1993-10,81.85,
1994-01,83.07,
1994-04,83.17,
1994-07,83.16,
1994-10,83.29,
1995-01,83.79,
1995-04,84.14,
1995-07,84.32,
1995-10,84.57,
1996-01,84.89,
1996-04,85.01,
1996-07,85.03,
1996-10,85.13,
1997-01,85.79,
1997-04,85.80,
1997-07,86.36,
1997-10,86.34,
1998-01,86.24,
1998-04,86.59,
1998-07,86.61,
1998-10,86.61,
1999-01,86.67,
1999-04,87.11,
1999-07,86.88,
1999-10,86.78,
2000-01,87.34,
2000-04,87.28,
2000-07,87.61,
2000-10,87.93,
2001-01,88.50,
2001-04,89.01,
2001-07,89.17,
2001-10,89.45,
2002-01,90.04,
2002-04,90.13,
2002-07,90.14,
2002-10,90.36,
2003-01,91.86,
2003-04,91.74,
2003-07,91.90,
2003-10,91.86,
2004-01,92.25,
2004-04,92.75,
2004-07,92.84,
2004-10,93.13,
2005-01,93.68,
2005-04,94.05,
2005-07,94.66,
2005-10,94.56,
2006-01,95.03,
2006-04,95.33,
2006-07,95.38,
2006-10,95.35,
2007-01,96.14,
2007-04,96.67,
2007-07,96.97,
2007-10,97.44,
2008-01,97.89,
2008-04,98.49,
2008-07,99.02,
2008-10,98.25,
2009-01,97.68,
2009-04,98.03,
2009-07,98.14,
2009-10,98.17,
2010-01,99.00,
2010-04,100.09,
2010-07,100.34,
2010-10,100.51,
2011-01,101.21,
2011-04,102.01,
2011-07,102.01,
2011-10,102.32,
2012-01,102.98,
2012-04,103.33,
2012-07,103.54,
2012-10,103.84,
2013-01,104.24,
2013-04,104.69,
2013-07,104.90,
2013-10,105.01,
2014-01,105.38,
2014-04,105.78,
2014-07,105.94,
2014-10,105.70,
