"",BBK01.QUW236,BBK01.QUW236_FLAGS
"",Foreign branches in the United States: Long-term loans and advances to foreign banks / In the country of domicile of the branch / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:42:02,
2001-12,0.628,
2002-01,0.390,
2002-02,1.997,
2002-03,2.388,
2002-04,2.562,
2002-05,1.235,
2002-06,1.153,
2002-07,0.445,
2002-08,0.345,
2002-09,0.294,
2002-10,0.314,
2002-11,0.228,
2002-12,1.256,
2003-01,1.267,
2003-02,0.351,
2003-03,0.409,
2003-04,0.367,
2003-05,0.271,
2003-06,0.299,
2003-07,3.116,
2003-08,0.409,
2003-09,0.583,
2003-10,0.713,
2003-11,0.783,
2003-12,0.707,
2004-01,0.401,
2004-02,0.455,
2004-03,0.524,
2004-04,0.425,
2004-05,0.506,
2004-06,0.563,
2004-07,0.531,
2004-08,0.556,
2004-09,0.742,
2004-10,3.610,
2004-11,1.910,
2004-12,2.410,
2005-01,2.818,
2005-02,3.525,
2005-03,3.920,
2005-04,2.882,
2005-05,1.136,
2005-06,0.685,
2005-07,0.652,
2005-08,0.657,
2005-09,0.634,
2005-10,0.237,
2005-11,0.147,
2005-12,0.112,
2006-01,0.135,
2006-02,0.100,
2006-03,0.340,
2006-04,0.105,
2006-05,0.903,
2006-06,0.285,
2006-07,0.244,
2006-08,0.282,
2006-09,0.284,
2006-10,0.419,
2006-11,0.463,
2006-12,0.434,
2007-01,0.376,
2007-02,0.380,
2007-03,0.314,
2007-04,0.246,
2007-05,0.348,
2007-06,0.412,
2007-07,0.326,
2007-08,0.542,
2007-09,0.515,
2007-10,0.494,
2007-11,0.473,
2007-12,0.460,
2008-01,0.457,
2008-02,0.427,
2008-03,0.485,
2008-04,0.496,
2008-05,0.556,
2008-06,0.496,
2008-07,0.201,
2008-08,0.211,
2008-09,0.213,
2008-10,0.241,
2008-11,0.218,
2008-12,0.189,
2009-01,0.225,
2009-02,0.226,
2009-03,0.205,
2009-04,0.224,
2009-05,0.204,
2009-06,0.084,
2009-07,0.049,
2009-08,0.021,
2009-09,0.021,
2009-10,0.002,
2009-11,0.002,
2009-12,0.002,
2010-01,0.002,
2010-02,0.002,
2010-03,0.468,
2010-04,0.474,
2010-05,0.512,
2010-06,0.514,
2010-07,2.423,
2010-08,2.825,
2010-09,2.305,
2010-10,4.292,
2010-11,4.248,
2010-12,4.188,
2011-01,3.946,
2011-02,3.935,
2011-03,3.859,
2011-04,3.727,
2011-05,3.894,
2011-06,3.565,
2011-07,3.597,
2011-08,3.979,
2011-09,4.343,
2011-10,3.880,
2011-11,4.530,
2011-12,4.365,
2012-01,4.093,
2012-02,3.977,
2012-03,4.527,
2012-04,4.339,
2012-05,3.831,
2012-06,3.928,
2012-07,3.853,
2012-08,4.329,
2012-09,4.192,
2012-10,4.071,
2012-11,3.905,
2012-12,3.616,
2013-01,3.340,
2013-02,3.358,
2013-03,3.593,
2013-04,3.370,
2013-05,3.452,
2013-06,3.239,
2013-07,2.216,
2013-08,1.215,
2013-09,1.153,
2013-10,1.092,
2013-11,1.185,
2013-12,1.109,
2014-01,0.999,
2014-02,0.671,
2014-03,0.002,
2014-04,0.003,
2014-05,0.021,
2014-06,0.004,
2014-07,0.048,
2014-08,0.589,
2014-09,0.428,
2014-10,0.007,
2014-11,0.019,
