"",BBK01.OECB12K,BBK01.OECB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:21,
2002-01,2.788,
2002-04,2.812,
2002-07,2.782,
2002-10,2.770,
2003-01,2.582,
2003-04,2.552,
2003-07,2.512,
2003-10,2.494,
2004-01,2.670,
2004-04,2.773,
2004-07,2.637,
2004-10,4.737,
2005-01,4.218,
2005-04,4.188,
2005-07,4.399,
2005-10,4.387,
2006-01,4.539,
2006-04,4.409,
2006-07,4.295,
2006-10,4.179,
2007-01,4.277,
2007-04,4.274,
2007-07,4.468,
2007-10,4.782,
2008-01,4.985,
2008-04,5.126,
2008-07,5.627,
2008-10,5.817,
2009-01,5.704,
2009-04,6.499,
2009-07,6.684,
2009-10,6.913,
2010-01,7.053,
2010-04,7.533,
2010-07,7.244,
2010-10,7.773,
2011-01,7.647,
2011-04,7.692,
2011-07,8.172,
2011-10,8.722,
2012-01,8.762,
2012-04,12.543,
2012-07,12.209,
2012-10,12.095,
2013-01,11.841,
2013-04,11.444,
2013-07,11.209,
2013-10,10.840,
2014-01,10.683,
2014-04,10.469,
2014-07,10.782,
