"",BBK01.CEFO0L,BBK01.CEFO0L_FLAGS
"",Other deposits  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:44,
1999-01,55.3,
1999-04,55.9,
1999-07,57.4,
1999-10,58.8,
2000-01,60.5,
2000-04,61.3,
2000-07,61.5,
2000-10,62.7,
2001-01,63.6,
2001-04,64.3,
2001-07,64.7,
2001-10,64.7,
2002-01,65.3,
2002-04,65.3,
2002-07,65.5,
2002-10,69.9,
2003-01,70.7,
2003-04,70.6,
2003-07,71.9,
2003-10,79.7,
2004-01,80.9,
2004-04,83.1,
2004-07,84.2,
2004-10,91.4,
2005-01,92.9,
2005-04,93.6,
2005-07,94.2,
2005-10,99.2,
2006-01,99.0,
2006-04,99.8,
2006-07,102.0,
2006-10,106.8,
2007-01,106.4,
2007-04,107.2,
2007-07,110.3,
2007-10,117.9,
2008-01,119.2,
2008-04,122.2,
2008-07,124.7,
2008-10,128.7,
2009-01,128.9,
2009-04,130.9,
2009-07,133.3,
2009-10,135.9,
2010-01,132.7,
2010-04,132.3,
2010-07,131.4,
2010-10,135.0,
2011-01,132.1,
2011-04,131.8,
2011-07,132.1,
2011-10,132.4,
2012-01,125.9,
2012-04,124.1,
2012-07,122.2,
2012-10,126.7,
2013-01,122.0,
2013-04,121.3,
2013-07,118.2,
2013-10,118.0,
2014-01,115.6,
2014-04,115.1,
2014-07,113.8,
