"",BBK01.OEAC28L,BBK01.OEAC28L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:30,
2002-01,1.175,
2002-04,0.961,
2002-07,0.975,
2002-10,0.825,
2003-01,0.935,
2003-04,0.910,
2003-07,0.950,
2003-10,0.935,
2004-01,0.971,
2004-04,1.012,
2004-07,0.955,
2004-10,1.593,
2005-01,1.651,
2005-04,1.563,
2005-07,1.769,
2005-10,1.778,
2006-01,1.199,
2006-04,0.901,
2006-07,0.876,
2006-10,0.680,
2007-01,0.755,
2007-04,0.755,
2007-07,0.743,
2007-10,0.655,
2008-01,0.670,
2008-04,0.836,
2008-07,0.759,
2008-10,0.739,
2009-01,0.845,
2009-04,0.858,
2009-07,0.904,
2009-10,0.898,
2010-01,0.732,
2010-04,0.628,
2010-07,0.653,
2010-10,0.506,
2011-01,0.484,
2011-04,0.409,
2011-07,0.401,
2011-10,0.405,
2012-01,0.376,
2012-04,0.392,
2012-07,0.367,
2012-10,0.375,
2013-01,0.351,
2013-04,0.418,
2013-07,0.415,
2013-10,0.351,
2014-01,0.392,
2014-04,0.410,
2014-07,0.376,
