"",BBK01.CEFL20,BBK01.CEFL20_FLAGS
"",Investment fund shares or units                                             debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:15,
1999-01,615.0,
1999-04,657.8,
1999-07,663.1,
1999-10,766.1,
2000-01,820.2,
2000-04,815.9,
2000-07,844.2,
2000-10,821.2,
2001-01,798.0,
2001-04,816.3,
2001-07,750.0,
2001-10,813.3,
2002-01,827.9,
2002-04,785.5,
2002-07,751.4,
2002-10,762.7,
2003-01,762.2,
2003-04,813.3,
2003-07,827.3,
2003-10,841.8,
2004-01,862.0,
2004-04,858.7,
2004-07,860.6,
2004-10,869.3,
2005-01,889.8,
2005-04,927.6,
2005-07,966.3,
2005-10,976.5,
2006-01,995.8,
2006-04,978.7,
2006-07,1011.2,
2006-10,1027.3,
2007-01,1043.6,
2007-04,1066.2,
2007-07,1057.0,
2007-10,1047.0,
2008-01,996.3,
2008-04,985.4,
2008-07,965.4,
2008-10,909.6,
2009-01,897.8,
2009-04,939.0,
2009-07,1000.9,
2009-10,1027.4,
2010-01,1068.9,
2010-04,1071.0,
2010-07,1116.2,
2010-10,1136.9,
2011-01,1141.8,
2011-04,1146.0,
2011-07,1110.9,
2011-10,1138.7,
2012-01,1198.9,
2012-04,1203.4,
2012-07,1266.6,
2012-10,1309.5,
2013-01,1351.3,
2013-04,1344.8,
2013-07,1386.5,
2013-10,1421.3,
2014-01,1465.0,
2014-04,1514.5,
2014-07,1554.0,
