"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:37,
2009-09,733,
2009-10,690,
2009-11,725,
2009-12,725,
2010-01,719,
2010-02,776,
2010-03,925,
2010-04,938,
2010-05,1004,
2010-06,1066,
2010-07,1045,
2010-08,1090,
2010-09,1089,
2010-10,1050,
2010-11,960,
2010-12,957,
2011-01,1053,
2011-02,1079,
2011-03,1041,
2011-04,966,
2011-05,903,
2011-06,813,
2011-07,816,
2011-08,782,
2011-09,777,
2011-10,798,
2011-11,770,
2011-12,784,
2012-01,806,
2012-02,783,
2012-03,801,
2012-04,823,
2012-05,867,
2012-06,918,
2012-07,900,
2012-08,936,
2012-09,867,
2012-10,861,
2012-11,903,
2012-12,867,
2013-01,836,
2013-02,783,
2013-03,792,
2013-04,804,
2013-05,816,
2013-06,875,
2013-07,851,
2013-08,873,
2013-09,850,
2013-10,827,
2013-11,873,
2013-12,838,
2014-01,822,
2014-02,835,
2014-03,885,
2014-04,852,
2014-05,866,
2014-06,880,
2014-07,880,
2014-08,873,
2014-09,813,
2014-10,814,
2014-11,803,
