"",BBEX3.M.XOF.EUR.CA.AC.A01,BBEX3.M.XOF.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in the West African Economic and Monetary Union * / EUR 1 = XOF ... (middle),
unit,XOF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:20,
1999-01,655.957,
1999-02,655.957,
1999-03,655.957,
1999-04,655.957,
1999-05,655.957,
1999-06,655.957,
1999-07,655.957,
1999-08,655.957,
1999-09,655.957,
1999-10,655.957,
1999-11,655.957,
1999-12,655.957,
2000-01,655.957,
2000-02,655.957,
2000-03,655.957,
2000-04,655.957,
2000-05,655.957,
2000-06,655.957,
2000-07,655.957,
2000-08,655.957,
2000-09,655.957,
2000-10,655.957,
2000-11,655.957,
2000-12,655.957,
2001-01,655.957,
2001-02,655.957,
2001-03,655.957,
2001-04,655.957,
2001-05,655.957,
2001-06,655.957,
2001-07,655.957,
2001-08,655.957,
2001-09,655.957,
2001-10,655.957,
2001-11,655.957,
2001-12,655.957,
2002-01,655.957,
2002-02,655.957,
2002-03,655.957,
2002-04,655.957,
2002-05,655.957,
2002-06,655.957,
2002-07,655.957,
2002-08,655.957,
2002-09,655.957,
2002-10,655.957,
2002-11,655.957,
2002-12,655.957,
2003-01,655.957,
2003-02,655.957,
2003-03,655.957,
2003-04,655.957,
2003-05,655.957,
2003-06,655.957,
2003-07,655.957,
2003-08,655.957,
2003-09,655.957,
2003-10,655.957,
2003-11,655.957,
2003-12,655.957,
2004-01,655.957,
2004-02,655.957,
2004-03,655.957,
2004-04,655.957,
2004-05,655.957,
2004-06,655.957,
2004-07,655.957,
2004-08,655.957,
2004-09,655.957,
2004-10,655.957,
2004-11,655.957,
2004-12,655.957,
2005-01,655.957,
2005-02,655.957,
2005-03,655.957,
2005-04,655.957,
2005-05,655.957,
2005-06,655.957,
2005-07,655.957,
2005-08,655.957,
2005-09,655.957,
2005-10,655.957,
2005-11,655.957,
2005-12,655.957,
2006-01,655.957,
2006-02,655.957,
2006-03,655.957,
2006-04,655.957,
2006-05,655.957,
2006-06,655.957,
2006-07,655.957,
2006-08,655.957,
2006-09,655.957,
2006-10,655.957,
2006-11,655.957,
2006-12,655.957,
2007-01,655.957,
2007-02,655.957,
2007-03,655.957,
2007-04,655.957,
2007-05,655.957,
2007-06,655.957,
2007-07,655.957,
2007-08,655.957,
2007-09,655.957,
2007-10,655.957,
2007-11,655.957,
2007-12,655.957,
2008-01,655.957,
2008-02,655.957,
2008-03,655.957,
2008-04,655.957,
2008-05,655.957,
2008-06,655.957,
2008-07,655.957,
2008-08,655.957,
2008-09,655.957,
2008-10,655.957,
2008-11,655.957,
2008-12,655.957,
2009-01,655.957,
2009-02,655.957,
2009-03,655.957,
2009-04,655.957,
2009-05,655.957,
2009-06,655.957,
2009-07,655.957,
2009-08,655.957,
2009-09,655.957,
2009-10,655.957,
2009-11,655.957,
2009-12,655.957,
2010-01,655.957,
2010-02,655.957,
2010-03,655.957,
2010-04,655.957,
2010-05,655.957,
2010-06,655.957,
2010-07,655.957,
2010-08,655.957,
2010-09,655.957,
2010-10,655.957,
2010-11,655.957,
2010-12,655.957,
2011-01,655.957,
2011-02,655.957,
2011-03,655.957,
2011-04,655.957,
2011-05,655.957,
2011-06,655.957,
2011-07,655.957,
2011-08,655.957,
2011-09,655.957,
2011-10,655.957,
2011-11,655.957,
2011-12,655.957,
2012-01,655.957,
2012-02,655.957,
2012-03,655.957,
2012-04,655.957,
2012-05,655.957,
2012-06,655.957,
2012-07,655.957,
2012-08,655.957,
2012-09,655.957,
2012-10,655.957,
2012-11,655.957,
2012-12,655.957,
2013-01,655.957,
2013-02,655.957,
2013-03,655.957,
2013-04,655.957,
2013-05,655.957,
2013-06,655.957,
2013-07,655.957,
2013-08,655.957,
2013-09,655.957,
2013-10,655.957,
2013-11,655.957,
2013-12,655.957,
2014-01,655.957,
2014-02,655.957,
2014-03,655.957,
2014-04,655.957,
2014-05,655.957,
2014-06,655.957,
2014-07,655.957,
2014-08,655.957,
2014-09,655.957,
2014-10,655.957,
2014-11,655.957,
2014-12,655.957,
2015-01,655.957,
"","General: * Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal and Togo all belong to the West African Economic and Monetary Union (UEMOA = Union Économique et Monétaire Ouest Africaine). The responsible monetary authority is the ""Banque Centrale des Etats de l'Afrique de l'Ouest"", whose CFA franc (F.CFA = Franc de la Communauté Financière Africaine) is legal tender only in the aforementioned countries.  Fixed exchange rate to the euro.",
"",Source: Banque Centrale des Etats de l'Afrique de l'Ouest,
