"",BBFB1.Q.N.DE.D09.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:08,
1991-01,98.921,
1991-04,50.915,
1991-07,71.169,
1991-10,56.653,
1992-01,42.032,
1992-04,51.879,
1992-07,65.862,
1992-10,66.718,
1993-01,-106.642,
1993-04,-21.051,
1993-07,-91.865,
1993-10,81.023,
1994-01,-151.650,
1994-04,-141.987,
1994-07,-174.654,
1994-10,-170.776,
1995-01,162.936,
1995-04,253.902,
1995-07,259.810,
1995-10,186.333,
1996-01,195.846,
1996-04,179.429,
1996-07,282.789,
1996-10,246.211,
1997-01,102.428,
1997-04,227.610,
1997-07,205.029,
1997-10,237.390,
1998-01,127.107,
1998-04,14.683,
1998-07,114.791,
1998-10,86.838,
1999-01,47.487,
1999-04,331.374,
1999-07,88.399,
1999-10,-99.587,
2000-01,133.973,
2000-04,143.670,
2000-07,240.495,
2000-10,198.000,
2001-01,89.246,
2001-04,176.242,
2001-07,189.121,
2001-10,220.069,
2002-01,178.828,
2002-04,194.385,
2002-07,171.535,
2002-10,242.301,
2003-01,107.355,
2003-04,155.265,
2003-07,99.682,
2003-10,122.878,
2004-01,81.753,
2004-04,109.772,
2004-07,86.228,
2004-10,200.701,
2005-01,99.706,
2005-04,172.717,
2005-07,48.090,
2005-10,236.451,
2006-01,122.042,
2006-04,214.210,
2006-07,184.346,
2006-10,83.768,
2007-01,170.555,
2007-04,143.132,
2007-07,141.508,
2007-10,201.210,
2008-01,230.554,
2008-04,36.293,
2008-07,386.692,
2008-10,178.606,
2009-01,60.981,
2009-04,35.098,
2009-07,38.804,
2009-10,47.894,
2010-01,-8.973,
2010-04,4.312,
2010-07,28.586,
2010-10,58.268,
2011-01,132.648,
2011-04,205.047,
2011-07,30.190,
2011-10,116.455,
2012-01,620.037,
2012-04,687.318,
2012-07,1095.643,
2012-10,1100.493,
2013-01,813.535,
2013-04,865.950,
2013-07,1028.280,
2013-10,883.304,
2014-01,734.585,
2014-04,917.509,
2014-07,1105.208,
