"",BBK01.CEFEI0,BBK01.CEFEI0_FLAGS
"",short-term loans                                              debtor: Households (incl. NPISH) creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:56,
1999-01,108.6,
1999-04,111.8,
1999-07,111.5,
1999-10,111.7,
2000-01,109.7,
2000-04,112.5,
2000-07,112.7,
2000-10,113.7,
2001-01,110.5,
2001-04,111.9,
2001-07,111.3,
2001-10,110.5,
2002-01,106.7,
2002-04,106.6,
2002-07,107.2,
2002-10,106.5,
2003-01,102.7,
2003-04,102.5,
2003-07,102.0,
2003-10,98.7,
2004-01,94.2,
2004-04,93.0,
2004-07,93.0,
2004-10,90.3,
2005-01,87.4,
2005-04,86.6,
2005-07,86.2,
2005-10,85.6,
2006-01,83.2,
2006-04,82.9,
2006-07,82.8,
2006-10,80.2,
2007-01,78.5,
2007-04,79.2,
2007-07,77.9,
2007-10,78.9,
2008-01,78.1,
2008-04,78.1,
2008-07,78.7,
2008-10,80.0,
2009-01,79.6,
2009-04,79.5,
2009-07,78.2,
2009-10,75.7,
2010-01,75.4,
2010-04,78.0,
2010-07,77.6,
2010-10,75.6,
2011-01,75.0,
2011-04,75.8,
2011-07,75.0,
2011-10,73.9,
2012-01,73.8,
2012-04,74.4,
2012-07,73.1,
2012-10,72.6,
2013-01,70.2,
2013-04,69.9,
2013-07,69.8,
2013-10,67.7,
2014-01,68.4,
2014-04,68.8,
2014-07,67.5,
