"",BBDA1.M.DE.N.EX.S.A.S6.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S6.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Other Asian countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:49,
1993-01,2112697,
1993-02,2472373,
1993-03,2598880,
1993-04,2434690,
1993-05,2239505,
1993-06,2628938,
1993-07,2680034,
1993-08,2539734,
1993-09,2534645,
1993-10,2961845,
1993-11,2906293,
1993-12,3464849,
1994-01,2644426,
1994-02,2459814,
1994-03,2931246,
1994-04,2899986,
1994-05,3180339,
1994-06,3233748,
1994-07,2999339,
1994-08,3284964,
1994-09,3208495,
1994-10,2979336,
1994-11,3395287,
1994-12,3823139,
1995-01,2938287,
1995-02,3062835,
1995-03,3477053,
1995-04,2792087,
1995-05,3453415,
1995-06,3280611,
1995-07,3430129,
1995-08,3407570,
1995-09,3285908,
1995-10,3676340,
1995-11,3958124,
1995-12,3915637,
1996-01,3178655,
1996-02,3580749,
1996-03,3503368,
1996-04,3606540,
1996-05,3410943,
1996-06,3189441,
1996-07,3894181,
1996-08,3443844,
1996-09,3528870,
1996-10,4229239,
1996-11,4075872,
1996-12,3734885,
1997-01,3480095,
1997-02,3324741,
1997-03,3550279,
1997-04,4033012,
1997-05,3507665,
1997-06,3801361,
1997-07,4204032,
1997-08,3487498,
1997-09,4162112,
1997-10,4035488,
1997-11,3846395,
1997-12,3846996,
1998-01,3345061,
1998-02,3052898,
1998-03,3535598,
1998-04,3293448,
1998-05,3161103,
1998-06,3034473,
1998-07,3413484,
1998-08,2988400,
1998-09,3094371,
1998-10,3102982,
1998-11,3078343,
1998-12,3088002,
1999-01,2593293,
1999-02,2885806,
1999-03,3528591,
1999-04,3034757,
1999-05,3096086,
1999-06,3345214,
1999-07,3707513,
1999-08,2957930,
1999-09,3487552,
1999-10,3376073,
1999-11,3811711,
1999-12,3795524,
2000-01,3209328,
2000-02,3631123,
2000-03,4237115,
2000-04,3454875,
2000-05,4346080,
2000-06,4156331,
2000-07,4321545,
2000-08,4539289,
2000-09,4471776,
2000-10,4974416,
2000-11,4886323,
2000-12,4509311,
2001-01,4385588,
2001-02,4103347,
2001-03,4998460,
2001-04,4340941,
2001-05,4988797,
2001-06,4363024,
2001-07,4936498,
2001-08,4896464,
2001-09,4116775,
2001-10,4931580,
2001-11,4519833,
2001-12,4224453,
2002-01,4258643,
2002-02,4243354,
2002-03,4794824,
2002-04,4911277,
2002-05,4484249,
2002-06,5011853,
2002-07,5079793,
2002-08,4986611,
2002-09,5096984,
2002-10,5211636,
2002-11,5014943,
2002-12,4776237,
