"",BBFB1.M.N.DE.W1.S1.S1.T.B.SA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Manufacturing services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:16,
1991-01,-105.835,
1991-02,-137.928,
1991-03,-180.962,
1991-04,-131.265,
1991-05,-129.665,
1991-06,-129.463,
1991-07,-171.155,
1991-08,-150.425,
1991-09,-124.052,
1991-10,-123.417,
1991-11,-147.707,
1991-12,-115.590,
1992-01,-223.516,
1992-02,-225.710,
1992-03,-215.154,
1992-04,-172.649,
1992-05,-230.982,
1992-06,-186.511,
1992-07,-252.610,
1992-08,-162.190,
1992-09,-109.546,
1992-10,-200.091,
1992-11,-185.686,
1992-12,-347.446,
1993-01,-206.845,
1993-02,-198.891,
1993-03,-166.060,
1993-04,-203.783,
1993-05,-223.418,
1993-06,-206.180,
1993-07,-234.217,
1993-08,-146.863,
1993-09,-223.275,
1993-10,-109.773,
1993-11,-207.654,
1993-12,-185.532,
1994-01,-81.501,
1994-02,-193.496,
1994-03,-213.539,
1994-04,-235.657,
1994-05,-208.091,
1994-06,-209.968,
1994-07,-257.181,
1994-08,-188.843,
1994-09,-163.341,
1994-10,-231.598,
1994-11,-176.913,
1994-12,-146.067,
1995-01,-363.050,
1995-02,-223.516,
1995-03,-229.517,
1995-04,-241.624,
1995-05,-188.289,
1995-06,-233.641,
1995-07,-264.527,
1995-08,-195.114,
1995-09,-151.541,
1995-10,-126.996,
1995-11,-180.678,
1995-12,-318.712,
1996-01,-196.479,
1996-02,-189.040,
1996-03,-203.813,
1996-04,-191.235,
1996-05,-178.732,
1996-06,-247.494,
1996-07,-209.363,
1996-08,-135.688,
1996-09,-202.942,
1996-10,-241.415,
1996-11,-254.276,
1996-12,-179.139,
1997-01,-186.971,
1997-02,-159.752,
1997-03,-165.868,
1997-04,-179.939,
1997-05,-185.505,
1997-06,-193.379,
1997-07,-200.715,
1997-08,-130.451,
1997-09,-166.077,
1997-10,-178.096,
1997-11,-187.382,
1997-12,-135.630,
1998-01,-124.842,
1998-02,-123.963,
1998-03,-145.262,
1998-04,-109.055,
1998-05,-197.257,
1998-06,-121.444,
1998-07,-146.145,
1998-08,-82.426,
1998-09,-139.735,
1998-10,-167.937,
1998-11,-163.621,
1998-12,-120.520,
1999-01,-100.768,
1999-02,-98.562,
1999-03,-109.625,
1999-04,-107.118,
1999-05,-88.278,
1999-06,-137.617,
1999-07,-86.893,
1999-08,-95.681,
1999-09,-119.489,
1999-10,-132.444,
1999-11,-111.155,
1999-12,-144.576,
2000-01,-130.197,
2000-02,-91.653,
2000-03,-134.171,
2000-04,-125.502,
2000-05,-108.984,
2000-06,-130.213,
2000-07,-139.208,
2000-08,-100.767,
2000-09,-87.241,
2000-10,-107.807,
2000-11,-100.846,
2000-12,-87.421,
2001-01,-153.236,
2001-02,-93.228,
2001-03,-127.432,
2001-04,-106.525,
2001-05,-165.056,
2001-06,-142.940,
2001-07,-103.273,
2001-08,-42.303,
2001-09,-82.697,
2001-10,-126.756,
2001-11,-99.681,
2001-12,-92.211,
2002-01,-58.603,
2002-02,40.743,
2002-03,-60.566,
2002-04,-22.716,
2002-05,-183.224,
2002-06,-115.573,
2002-07,-128.168,
2002-08,1.839,
2002-09,-65.474,
2002-10,-65.499,
2002-11,-98.691,
2002-12,11.776,
2003-01,-117.810,
2003-02,-164.645,
2003-03,-113.444,
2003-04,-120.903,
2003-05,-131.049,
2003-06,-60.869,
2003-07,-95.908,
2003-08,-65.138,
2003-09,-67.296,
2003-10,-63.239,
2003-11,-85.105,
2003-12,-59.583,
2004-01,-63.959,
2004-02,-91.566,
2004-03,-55.755,
2004-04,-69.680,
2004-05,-19.111,
2004-06,-47.099,
2004-07,-98.108,
2004-08,-34.914,
2004-09,-14.728,
2004-10,-20.525,
2004-11,-58.707,
2004-12,-29.756,
2005-01,-19.627,
2005-02,-30.963,
2005-03,71.078,
2005-04,-11.344,
2005-05,-9.440,
2005-06,-29.080,
2005-07,-66.181,
2005-08,31.571,
2005-09,8.086,
2005-10,-10.618,
2005-11,-20.515,
2005-12,17.252,
2006-01,-32.378,
2006-02,8.397,
2006-03,50.798,
2006-04,-45.731,
2006-05,-12.817,
2006-06,23.520,
2006-07,-53.456,
2006-08,6.939,
2006-09,15.200,
2006-10,-6.898,
2006-11,20.741,
2006-12,-3.871,
2007-01,-14.467,
2007-02,0.578,
2007-03,-13.166,
2007-04,-19.259,
2007-05,10.698,
2007-06,19.749,
2007-07,27.107,
2007-08,-6.965,
2007-09,-5.381,
2007-10,-76.626,
2007-11,20.763,
2007-12,30.947,
2008-01,18.091,
2008-02,49.913,
2008-03,-29.070,
2008-04,19.584,
2008-05,-13.379,
2008-06,27.711,
2008-07,56.631,
2008-08,79.670,
2008-09,52.580,
2008-10,28.388,
2008-11,74.952,
2008-12,111.800,
2009-01,46.744,
2009-02,25.532,
2009-03,158.496,
2009-04,121.572,
2009-05,126.494,
2009-06,140.040,
2009-07,60.141,
2009-08,148.112,
2009-09,114.149,
2009-10,84.722,
2009-11,109.972,
2009-12,128.030,
2010-01,111.349,
2010-02,113.508,
2010-03,107.991,
2010-04,75.899,
2010-05,119.626,
2010-06,174.337,
2010-07,100.174,
2010-08,47.751,
2010-09,45.992,
2010-10,75.357,
2010-11,46.084,
2010-12,51.907,
2011-01,15.531,
2011-02,70.727,
2011-03,44.528,
2011-04,36.356,
2011-05,52.228,
2011-06,36.774,
2011-07,112.814,
2011-08,38.074,
2011-09,70.743,
2011-10,11.384,
2011-11,96.359,
2011-12,-18.258,
2012-01,35.373,
2012-02,-3.516,
2012-03,12.472,
2012-04,-65.982,
2012-05,47.353,
2012-06,40.215,
2012-07,4.070,
2012-08,-89.150,
2012-09,97.762,
2012-10,60.976,
2012-11,49.768,
2012-12,-11.083,
2013-01,-37.337,
2013-02,-49.635,
2013-03,54.536,
2013-04,-19.270,
2013-05,-3.038,
2013-06,15.885,
2013-07,-49.325,
2013-08,-44.497,
2013-09,55.885,
2013-10,43.901,
2013-11,122.416,
2013-12,-5.826,
2014-01,17.729,
2014-02,40.083,Provisional value
2014-03,112.011,Provisional value
2014-04,4.067,Provisional value
2014-05,21.280,Provisional value
2014-06,38.418,Provisional value
2014-07,-53.419,Provisional value
2014-08,1.757,Provisional value
2014-09,10.655,
2014-10,-41.823,
2014-11,-20.597,
2014-12,-107.394,Provisional value
