"",BBK01.CEFE53,BBK01.CEFE53_FLAGS
"",short-term loans  debtor: OFI                                                          creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:30,
1999-01,8.9,
1999-04,11.6,
1999-07,9.4,
1999-10,4.6,
2000-01,9.9,
2000-04,14.7,
2000-07,14.3,
2000-10,8.3,
2001-01,17.9,
2001-04,14.1,
2001-07,13.0,
2001-10,12.2,
2002-01,13.5,
2002-04,10.0,
2002-07,14.5,
2002-10,9.3,
2003-01,20.5,
2003-04,17.7,
2003-07,21.7,
2003-10,20.0,
2004-01,21.6,
2004-04,19.0,
2004-07,20.1,
2004-10,25.0,
2005-01,30.2,
2005-04,31.1,
2005-07,37.6,
2005-10,27.5,
2006-01,48.6,
2006-04,44.8,
2006-07,54.2,
2006-10,28.8,
2007-01,48.6,
2007-04,44.0,
2007-07,49.5,
2007-10,42.0,
2008-01,64.6,
2008-04,67.5,
2008-07,71.5,
2008-10,60.5,
2009-01,93.4,
2009-04,95.6,
2009-07,87.5,
2009-10,93.2,
2010-01,89.8,
2010-04,98.5,
2010-07,85.8,
2010-10,81.5,
2011-01,86.1,
2011-04,98.5,
2011-07,117.4,
2011-10,115.7,
2012-01,122.5,
2012-04,115.3,
2012-07,133.6,
2012-10,119.1,
2013-01,132.2,
2013-04,142.6,
2013-07,30.8,
2013-10,28.0,
2014-01,29.4,
2014-04,28.4,
2014-07,29.8,
