"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:29,
1991-01,-11.328,
1991-04,-6.912,
1991-07,-7.579,
1991-10,-5.864,
1992-01,-0.830,
1992-04,3.379,
1992-07,3.379,
1992-10,-2.488,
1993-01,-67.097,
1993-04,-16.343,
1993-07,-15.336,
1993-10,-16.435,
1994-01,-11.008,
1994-04,17.811,
1994-07,22.566,
1994-10,22.532,
1995-01,42.504,
1995-04,59.226,
1995-07,58.141,
1995-10,58.483,
1996-01,-44.820,
1996-04,0.469,
1996-07,0.870,
1996-10,-5.345,
1997-01,19.895,
1997-04,43.690,
1997-07,46.016,
1997-10,46.016,
1998-01,50.287,
1998-04,41.550,
1998-07,50.721,
1998-10,51.130,
1999-01,-2.693,
1999-04,3.405,
1999-07,12.000,
1999-10,9.660,
2000-01,-94.321,
2000-04,-169.716,
2000-07,-157.326,
2000-10,-126.830,
2001-01,-116.051,
2001-04,19.211,
2001-07,-5.983,
2001-10,-110.231,
2002-01,95.936,
2002-04,124.438,
2002-07,-10.846,
2002-10,176.679,
2003-01,-74.056,
2003-04,-45.606,
2003-07,-14.416,
2003-10,-20.924,
2004-01,3.239,
2004-04,42.069,
2004-07,10.073,
2004-10,12.358,
2005-01,187.261,
2005-04,173.873,
2005-07,155.927,
2005-10,218.450,
2006-01,94.426,
2006-04,49.556,
2006-07,58.280,
2006-10,118.659,
2007-01,84.273,
2007-04,77.400,
2007-07,107.778,
2007-10,-31.247,
2008-01,77.074,
2008-04,32.637,
2008-07,-17.937,
2008-10,79.883,
2009-01,-107.589,
2009-04,-158.536,
2009-07,-82.485,
2009-10,-132.962,
2010-01,76.283,
2010-04,62.188,
2010-07,25.715,
2010-10,106.741,
2011-01,111.338,
2011-04,-12.510,
2011-07,130.322,
2011-10,114.830,
2012-01,39.332,
2012-04,76.427,
2012-07,119.024,
2012-10,125.845,
2013-01,171.458,
2013-04,115.090,
2013-07,91.443,
2013-10,131.834,
2014-01,181.998,Provisional value
2014-04,107.240,Provisional value
2014-07,105.101,Provisional value
2014-10,155.981,Provisional value
