"",BBK01.OEAE11K,BBK01.OEAE11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:53,
2002-01,1.002,
2002-04,0.964,
2002-07,1.033,
2002-10,1.148,
2003-01,1.121,
2003-04,1.126,
2003-07,0.986,
2003-10,1.224,
2004-01,1.397,
2004-04,1.415,
2004-07,1.274,
2004-10,1.142,
2005-01,1.039,
2005-04,1.427,
2005-07,1.357,
2005-10,1.052,
2006-01,1.067,
2006-04,1.169,
2006-07,1.314,
2006-10,1.684,
2007-01,1.597,
2007-04,1.247,
2007-07,1.252,
2007-10,1.421,
2008-01,1.383,
2008-04,1.585,
2008-07,1.623,
2008-10,1.570,
2009-01,1.180,
2009-04,1.222,
2009-07,1.198,
2009-10,1.212,
2010-01,1.050,
2010-04,0.911,
2010-07,0.793,
2010-10,0.948,
2011-01,0.875,
2011-04,0.796,
2011-07,0.755,
2011-10,0.768,
2012-01,0.799,
2012-04,0.831,
2012-07,0.840,
2012-10,0.835,
2013-01,0.789,
2013-04,0.896,
2013-07,0.997,
2013-10,1.098,
2014-01,1.030,
2014-04,1.111,
2014-07,1.014,
