"",BBK01.OELL02U,BBK01.OELL02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:50,
2002-01,1.003,
2002-04,1.013,
2002-07,1.004,
2002-10,1.037,
2003-01,1.014,
2003-04,1.033,
2003-07,1.050,
2003-10,1.074,
2004-01,1.067,
2004-04,1.097,
2004-07,1.085,
2004-10,1.183,
2005-01,1.187,
2005-04,1.179,
2005-07,1.178,
2005-10,1.180,
2006-01,1.191,
2006-04,1.184,
2006-07,1.176,
2006-10,1.149,
2007-01,1.154,
2007-04,1.169,
2007-07,1.194,
2007-10,1.239,
2008-01,1.246,
2008-04,1.257,
2008-07,1.261,
2008-10,1.367,
2009-01,1.393,
2009-04,1.476,
2009-07,1.526,
2009-10,1.618,
2010-01,1.714,
2010-04,1.728,
2010-07,1.755,
2010-10,1.826,
2011-01,1.805,
2011-04,1.768,
2011-07,1.802,
2011-10,1.864,
2012-01,1.861,
2012-04,1.912,
2012-07,1.960,
2012-10,2.027,
2013-01,2.051,
2013-04,2.095,
2013-07,2.115,
2013-10,2.197,
2014-01,2.214,
2014-04,2.256,
2014-07,2.294,
