"",BBSF2.M.1.T.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed funds / Number / World not allocated (geographically) / All issuer sectors,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:06,
2009-09,1122,
2009-10,1137,
2009-11,1123,
2009-12,1120,
2010-01,1143,
2010-02,1156,
2010-03,1189,
2010-04,1233,
2010-05,1266,
2010-06,1274,
2010-07,1274,
2010-08,1296,
2010-09,1299,
2010-10,1307,
2010-11,1302,
2010-12,1213,
2011-01,1212,
2011-02,1210,
2011-03,1206,
2011-04,1211,
2011-05,1207,
2011-06,1206,
2011-07,1198,
2011-08,1198,
2011-09,1202,
2011-10,1173,
2011-11,1169,
2011-12,1162,
2012-01,1160,
2012-02,1166,
2012-03,1157,
2012-04,1159,
2012-05,1147,
2012-06,1143,
2012-07,1153,
2012-08,1154,
2012-09,1153,
2012-10,1153,
2012-11,1134,
2012-12,1128,
2013-01,1106,
2013-02,1092,
2013-03,1095,
2013-04,1101,
2013-05,1098,
2013-06,1095,
2013-07,1145,
2013-08,1144,
2013-09,1143,
2013-10,1130,
2013-11,1113,
2013-12,1108,
2014-01,1098,
2014-02,1098,
2014-03,1091,
2014-04,1088,
2014-05,1085,
2014-06,1087,
2014-07,1069,
2014-08,912,
2014-09,915,
2014-10,918,
2014-11,912,
