"",BBK01.OELL08J,BBK01.OELL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:27,
2002-01,0.650,
2002-04,0.647,
2002-07,0.646,
2002-10,0.688,
2003-01,0.722,
2003-04,0.700,
2003-07,0.716,
2003-10,0.736,
2004-01,0.733,
2004-04,0.730,
2004-07,0.719,
2004-10,0.757,
2005-01,0.719,
2005-04,0.727,
2005-07,0.718,
2005-10,0.742,
2006-01,0.756,
2006-04,0.751,
2006-07,0.762,
2006-10,0.769,
2007-01,0.764,
2007-04,0.760,
2007-07,0.726,
2007-10,0.745,
2008-01,0.730,
2008-04,0.724,
2008-07,0.713,
2008-10,0.753,
2009-01,0.760,
2009-04,0.738,
2009-07,0.660,
2009-10,0.687,
2010-01,0.686,
2010-04,0.698,
2010-07,0.723,
2010-10,0.723,
2011-01,0.735,
2011-04,0.751,
2011-07,0.755,
2011-10,0.770,
2012-01,0.772,
2012-04,0.792,
2012-07,0.777,
2012-10,0.788,
2013-01,0.815,
2013-04,0.827,
2013-07,0.825,
2013-10,0.836,
2014-01,0.630,
2014-04,0.628,
2014-07,0.629,
