"",BBEX3.M.IQD.USD.CA.AC.A01,BBEX3.M.IQD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Iraq * / USD 1 = IQD ... (middle),
unit,IQD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:04,
2003-10,1970.0000,
2003-11,1950.0000,
2003-12,1690.0000,
2004-01,1360.0000,
2004-02,1425.0000,
2004-03,1425.0000,
2004-04,1440.0000,
2004-05,1460.0000,
2004-06,1460.0000,
2004-07,1460.0000,
2004-08,1460.0000,
2004-09,1460.0000,
2004-10,1460.0000,
2004-11,1460.0000,
2004-12,1460.0000,
2005-01,1459.6350,
2005-02,1459.6350,
2005-03,1464.6340,
2005-04,1459.6350,
2005-05,1464.6340,
2005-06,1464.6340,
2005-07,1474.6315,
2005-08,1477.6305,
2005-09,1474.6315,
2005-10,1471.6320,comment
2005-11,1472.6320,
2005-12,1474.6315,
2006-01,1475.6310,
2006-02,1475.6310,
2006-03,1475.6310,
2006-04,1476.6310,
2006-05,1475.6310,
2006-06,1476.6310,
2006-07,1475.6310,
2006-08,1476.6310,
2006-09,1472.6320,
2006-10,1469.6325,
2006-11,1434.6415,
2006-12,1324.0000,
2007-01,1291.0000,
2007-02,1280.6800,
2007-03,1272.6820,
2007-04,1269.6825,
2007-05,1259.6850,
2007-06,1250.6875,
2007-07,1243.0000,
2007-08,1237.0000,
2007-09,1233.0000,
2007-10,1231.0000,
2007-11,1219.0000,
2007-12,1214.0000,
2008-01,1212.0000,comment
2008-02,1209.0000,
2008-03,1205.0000,
2008-04,1201.0000,
2008-05,1197.0000,
2008-06,1194.0000,
2008-07,1190.0000,
2008-08,1182.0000,
2008-09,1178.0000,
2008-10,1175.0000,
2008-11,1172.0000,
2008-12,1171.0000,
2009-01,1169.0000,
2009-02,1169.0000,
2009-03,1169.0000,
2009-04,1169.0000,
2009-05,1169.0000,
2009-06,1169.0000,
2009-07,1169.0000,
2009-08,1169.0000,
2009-09,1169.0000,
2009-10,1169.0000,
2009-11,1169.0000,
2009-12,1169.0000,
2010-01,1169.0000,
2010-02,1169.0000,
2010-03,1169.0000,
2010-04,1169.0000,
2010-05,1169.0000,
2010-06,1169.0000,
2010-07,1169.0000,
2010-08,1169.0000,
2010-09,1169.0000,
2010-10,1169.0000,
2010-11,1169.0000,
2010-12,1169.0000,
2011-01,1169.0000,
2011-02,1169.0000,
2011-03,1169.0000,
2011-04,1169.0000,
2011-05,1169.0000,
2011-06,1169.0000,
2011-07,1169.0000,
2011-08,1169.0000,
2011-09,1169.0000,
2011-10,1169.0000,
2011-11,1169.0000,
2011-12,1169.0000,
2012-01,1165.0000,
2012-02,1165.0000,
2012-03,1165.0000,
2012-04,1165.0000,
2012-05,1165.0000,
2012-06,1165.0000,
2012-07,1165.0000,
2012-08,1165.0000,
2012-09,1165.0000,
2012-10,1165.0000,
2012-11,1165.0000,
2012-12,1165.0000,
2013-01,1165.0000,
2013-02,1165.0000,
2013-03,1165.0000,
2013-04,1165.0000,
2013-05,1165.0000,
2013-06,1165.0000,
2013-07,1165.0000,
2013-08,1165.0000,
2013-09,1165.0000,
2013-10,1165.0000,
2013-11,1165.0000,
2013-12,1165.0000,
2014-01,1165.0000,
2014-02,1165.0000,
2014-03,1165.0000,
2014-04,1165.0000,
2014-05,1165.0000,
2014-06,1165.0000,
2014-07,1165.0000,
2014-08,1165.0000,
2014-09,1165.0000,
2014-10,1165.0000,
2014-11,1165.0000,
2014-12,1165.0000,
2015-01,1165.0000,
"","General: * The official exchange rate for the US dollar has remained unchanged since October 1982 at IQD 1 = USD 3.224933/3.208889 (buying/selling rate). However, in addition, parallel market rates have existed for several years; we do not have any information about their application, exchange rate information only received sporadically from press reports.Following the outbreak of the Iraq war on 20 March 2003 and the end of major combat operations on 1 May 2003, an official exchange rate to the US dollar was re-established on 4 October 2003 (USD 1 = IQD 1900) with the start of regular foreign exchange auctions. Buying and selling rates have been published since January 2005; the mid-market rate was calculated on the basis of these rates.",
"","Source: Central Bank of Iraq, Baghdad",
"",Comment on 2005-10: Exchange rate as of 1 November 2005.,
"",Comment on 2008-01: Exchange rate as of 24 January 2008.,
