"",BBK01.OEXB05S,BBK01.OEXB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:01,
2002-01,4.683,
2002-04,4.682,
2002-07,4.642,
2002-10,4.757,
2003-01,4.797,
2003-04,4.898,
2003-07,4.963,
2003-10,5.029,
2004-01,5.045,
2004-04,5.050,
2004-07,5.095,
2004-10,5.238,
2005-01,5.274,
2005-04,5.374,
2005-07,5.350,
2005-10,5.308,
2006-01,5.366,
2006-04,5.391,
2006-07,5.458,
2006-10,5.488,
2007-01,5.556,
2007-04,5.580,
2007-07,5.676,
2007-10,5.828,
2008-01,5.757,
2008-04,5.697,
2008-07,5.735,
2008-10,5.843,
2009-01,5.885,
2009-04,5.942,
2009-07,6.097,
2009-10,6.154,
2010-01,6.171,
2010-04,6.213,
2010-07,6.379,
2010-10,6.501,
2011-01,6.567,
2011-04,6.687,
2011-07,6.818,
2011-10,7.013,
2012-01,7.042,
2012-04,7.119,
2012-07,7.191,
2012-10,7.275,
2013-01,7.297,
2013-04,7.338,
2013-07,7.426,
2013-10,7.456,
2014-01,7.467,
2014-04,7.459,
2014-07,7.525,
