"",BBK01.OELL08V,BBK01.OELL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:31,
2002-01,2.242,
2002-04,2.206,
2002-07,2.210,
2002-10,2.326,
2003-01,2.385,
2003-04,2.377,
2003-07,2.429,
2003-10,2.518,
2004-01,2.571,
2004-04,2.568,
2004-07,2.547,
2004-10,2.656,
2005-01,2.673,
2005-04,2.665,
2005-07,2.673,
2005-10,2.710,
2006-01,2.693,
2006-04,2.622,
2006-07,2.578,
2006-10,2.494,
2007-01,2.396,
2007-04,2.334,
2007-07,2.317,
2007-10,2.330,
2008-01,2.304,
2008-04,2.247,
2008-07,2.196,
2008-10,2.225,
2009-01,2.260,
2009-04,2.308,
2009-07,2.330,
2009-10,2.434,
2010-01,2.461,
2010-04,2.503,
2010-07,2.556,
2010-10,2.475,
2011-01,2.498,
2011-04,2.598,
2011-07,2.570,
2011-10,2.641,
2012-01,2.647,
2012-04,2.655,
2012-07,2.693,
2012-10,2.735,
2013-01,2.740,
2013-04,2.754,
2013-07,2.786,
2013-10,2.764,
2014-01,2.754,
2014-04,2.750,
2014-07,2.750,
