"",BBFB1.Q.N.DE.A7.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:19,
1991-01,249.390,
1991-04,138.987,
1991-07,143.128,
1991-10,173.869,
1992-01,238.598,
1992-04,261.555,
1992-07,354.676,
1992-10,403.159,
1993-01,515.910,
1993-04,493.496,
1993-07,425.910,
1993-10,389.265,
1994-01,399.935,
1994-04,524.326,
1994-07,434.036,
1994-10,430.011,
1995-01,277.097,
1995-04,233.911,
1995-07,187.394,
1995-10,17.914,
1996-01,464.370,
1996-04,493.478,
1996-07,541.449,
1996-10,539.765,
1997-01,340.852,
1997-04,346.845,
1997-07,407.373,
1997-10,411.948,
1998-01,484.999,
1998-04,425.935,
1998-07,411.394,
1998-10,399.448,
1999-01,124.298,
1999-04,200.208,
1999-07,144.131,
1999-10,190.476,
2000-01,473.777,
2000-04,543.871,
2000-07,460.620,
2000-10,336.793,
2001-01,249.513,
2001-04,95.639,
2001-07,102.643,
2001-10,204.306,
2002-01,226.000,
2002-04,183.928,
2002-07,131.070,
2002-10,91.132,
2003-01,155.053,
2003-04,143.584,
2003-07,141.259,
2003-10,128.710,
2004-01,405.947,
2004-04,384.894,
2004-07,418.495,
2004-10,433.947,
2005-01,402.151,
2005-04,395.868,
2005-07,400.745,
2005-10,394.473,
2006-01,297.905,
2006-04,301.295,
2006-07,322.937,
2006-10,306.450,
2007-01,596.123,
2007-04,562.668,
2007-07,496.036,
2007-10,385.785,
2008-01,514.790,
2008-04,320.596,
2008-07,305.326,
2008-10,474.025,
2009-01,418.309,
2009-04,433.397,
2009-07,401.461,
2009-10,448.633,
2010-01,617.096,
2010-04,651.157,
2010-07,669.650,
2010-10,691.184,
2011-01,610.616,
2011-04,640.321,
2011-07,678.019,
2011-10,688.131,
2012-01,700.929,
2012-04,724.440,
2012-07,707.861,
2012-10,716.235,
2013-01,421.174,
2013-04,420.378,
2013-07,415.857,
2013-10,423.773,
2014-01,384.427,Provisional value
2014-04,426.992,Provisional value
2014-07,412.938,Provisional value
