"",BBFN1.M.DE.N.1.L.KW.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KW.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:49,
1994-07,0.076,
1994-08,0.090,
1994-09,0.083,
1994-10,0.075,
1994-11,0.038,
1994-12,0.039,
1995-01,0.040,
1995-02,0.042,
1995-03,0.043,
1995-04,0.077,
1995-05,0.057,
1995-06,0.048,
1995-07,0.053,
1995-08,0.059,
1995-09,0.056,
1995-10,0.062,
1995-11,0.050,
1995-12,0.061,
1996-01,0.064,
1996-02,0.059,
1996-03,0.072,
1996-04,0.062,
1996-05,0.062,
1996-06,0.076,
1996-07,0.077,
1996-08,0.057,
1996-09,0.054,
1996-10,0.059,
1996-11,0.035,
1996-12,0.044,
1997-01,0.036,
1997-02,0.037,
1997-03,0.037,
1997-04,0.021,
1997-05,0.021,
1997-06,0.029,
1997-07,0.051,
1997-08,0.049,
1997-09,0.051,
1997-10,0.051,
1997-11,0.042,
1997-12,0.048,
1998-01,0.040,
1998-02,0.045,
1998-03,0.048,
1998-04,0.048,
1998-05,0.048,
1998-06,0.019,
1998-07,0.046,
1998-08,0.041,
1998-09,0.043,
1998-10,0.047,
1998-11,0.044,
1998-12,0.046,
1999-01,0.043,
1999-02,0.049,
1999-03,0.051,
1999-04,0.026,
1999-05,0.052,
1999-06,0.057,
1999-07,0.039,
1999-08,0.043,
1999-09,0.050,
1999-10,0.064,
1999-11,0.066,
1999-12,0.076,
2000-01,0.077,
2000-02,0.091,
2000-03,0.092,
2000-04,0.087,
2000-05,0.093,
2000-06,0.077,
2000-07,0.082,
2000-08,0.086,
2000-09,0.092,
2000-10,0.094,
2000-11,0.082,
2000-12,0.102,
2001-01,0.106,
2001-02,0.103,
2001-03,0.092,
2001-04,0.107,
2001-05,0.101,
2001-06,0.119,
2001-07,0.101,
2001-08,0.109,
2001-09,0.113,
2001-10,0.116,
2001-11,0.107,
2001-12,0.103,
2002-01,0.092,
2002-02,0.097,
2002-03,0.105,
2002-04,0.100,
2002-05,0.113,
2002-06,0.116,
2002-07,0.115,
2002-08,0.083,
2002-09,0.074,
2002-10,0.078,
2002-11,0.079,
2002-12,0.069,
2003-01,0.094,
2003-02,0.070,
2003-03,0.067,
2003-04,0.106,
2003-05,0.109,
2003-06,0.107,
2003-07,0.108,
2003-08,0.130,
2003-09,0.126,
2003-10,0.117,
2003-11,0.135,
2003-12,0.130,
2004-01,0.118,
2004-02,0.122,
2004-03,0.191,
2004-04,0.190,
2004-05,0.208,
2004-06,0.221,
2004-07,0.244,
2004-08,0.202,
2004-09,0.261,
2004-10,0.306,
2004-11,0.294,
2004-12,0.305,
2005-01,0.290,
2005-02,0.334,
2005-03,0.378,
2005-04,0.106,
2005-05,0.119,
2005-06,0.170,
2005-07,0.110,
2005-08,0.114,
2005-09,0.131,
2005-10,0.132,
2005-11,0.131,
2005-12,0.077,
2006-01,0.057,
2006-02,0.066,
2006-03,0.058,
2006-04,0.060,
2006-05,0.066,
2006-06,0.088,
2006-07,0.099,
2006-08,0.084,
2006-09,0.082,
2006-10,0.083,
2006-11,0.095,
2006-12,0.099,
2007-01,0.110,
2007-02,0.112,
2007-03,0.115,
2007-04,0.118,
2007-05,0.121,
2007-06,0.155,
2007-07,0.170,
2007-08,0.178,
2007-09,0.185,
2007-10,0.223,
2007-11,0.226,
2007-12,0.220,
2008-01,0.224,
2008-02,0.235,
2008-03,0.222,
2008-04,0.213,
2008-05,0.220,
2008-06,0.216,
2008-07,0.221,
2008-08,0.221,
2008-09,0.198,
2008-10,0.202,
2008-11,0.227,
2008-12,0.213,
2009-01,0.227,
2009-02,0.267,
2009-03,0.291,
2009-04,0.354,
2009-05,0.365,
2009-06,0.391,
2009-07,0.364,
2009-08,0.373,
2009-09,0.369,
2009-10,0.361,
2009-11,0.368,
2009-12,0.385,
2010-01,0.398,
2010-02,0.414,
2010-03,0.418,
2010-04,0.398,
2010-05,0.432,
2010-06,0.439,
2010-07,0.437,
2010-08,0.236,
2010-09,0.289,
2010-10,0.295,
2010-11,0.287,
2010-12,0.312,
2011-01,0.327,
2011-02,0.338,
2011-03,0.277,
2011-04,0.285,
2011-05,0.282,
2011-06,0.277,
2011-07,0.273,
2011-08,0.270,
2011-09,0.283,
2011-10,0.275,
2011-11,0.273,
2011-12,0.245,
2012-01,0.250,
2012-02,0.250,
2012-03,0.251,
2012-04,0.271,
2012-05,0.270,
2012-06,0.263,
2012-07,0.236,
2012-08,0.240,
2012-09,0.221,
2012-10,0.224,
2012-11,0.214,
2012-12,0.175,
2013-01,0.195,
2013-02,0.210,
2013-03,0.208,
2013-04,0.180,
2013-05,0.181,
2013-06,0.171,
2013-07,0.148,
2013-08,0.157,
2013-09,0.191,
2013-10,0.185,
2013-11,0.187,
2013-12,0.212,
2014-01,0.220,
2014-02,0.226,
2014-03,0.211,
2014-04,0.234,
2014-05,0.237,
2014-06,0.237,
2014-07,0.237,
2014-08,0.203,
2014-09,0.202,
2014-10,0.211,
2014-11,0.219,
2014-12,0.229,
