"",BBK01.OEAA23U,BBK01.OEAA23U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:48,
2002-01,5.410,
2002-04,5.478,
2002-07,5.469,
2002-10,5.541,
2003-01,5.436,
2003-04,5.427,
2003-07,5.445,
2003-10,5.491,
2004-01,5.446,
2004-04,5.023,
2004-07,5.067,
2004-10,5.070,
2005-01,4.998,
2005-04,4.917,
2005-07,4.898,
2005-10,4.910,
2006-01,4.874,
2006-04,4.916,
2006-07,4.998,
2006-10,5.066,
2007-01,5.110,
2007-04,5.204,
2007-07,5.265,
2007-10,5.486,
2008-01,5.505,
2008-04,5.591,
2008-07,5.693,
2008-10,5.710,
2009-01,5.671,
2009-04,5.796,
2009-07,5.823,
2009-10,5.942,
2010-01,6.031,
2010-04,6.192,
2010-07,6.356,
2010-10,6.470,
2011-01,6.565,
2011-04,6.722,
2011-07,6.810,
2011-10,6.869,
2012-01,6.890,
2012-04,7.022,
2012-07,7.084,
2012-10,7.167,
2013-01,7.220,
2013-04,7.412,
2013-07,7.497,
2013-10,7.702,
2014-01,7.906,
2014-04,8.262,
2014-07,8.132,
