"",BBK01.OEHB08N,BBK01.OEHB08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:09,
2002-01,126.131,
2002-04,127.069,
2002-07,128.140,
2002-10,129.338,
2003-01,129.996,
2003-04,131.065,
2003-07,132.436,
2003-10,134.212,
2004-01,135.096,
2004-04,135.566,
2004-07,136.449,
2004-10,136.934,
2005-01,136.962,
2005-04,137.632,
2005-07,138.545,
2005-10,140.116,
2006-01,140.487,
2006-04,141.313,
2006-07,142.048,
2006-10,142.616,
2007-01,142.565,
2007-04,143.453,
2007-07,144.038,
2007-10,144.762,
2008-01,144.531,
2008-04,145.379,
2008-07,146.727,
2008-10,147.569,
2009-01,147.351,
2009-04,147.997,
2009-07,149.403,
2009-10,150.544,
2010-01,150.543,
2010-04,152.023,
2010-07,153.055,
2010-10,154.240,
2011-01,154.499,
2011-04,155.457,
2011-07,156.655,
2011-10,157.567,
2012-01,157.892,
2012-04,158.815,
2012-07,159.913,
2012-10,160.974,
2013-01,161.315,
2013-04,162.235,
2013-07,163.218,
2013-10,164.099,
2014-01,164.205,
2014-04,164.905,
2014-07,165.937,
