"",BBK01.OEXK03H,BBK01.OEXK03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:10,
2002-01,0.704,
2002-04,0.757,
2002-07,0.790,
2002-10,0.797,
2003-01,0.791,
2003-04,0.708,
2003-07,0.720,
2003-10,0.754,
2004-01,0.647,
2004-04,0.575,
2004-07,0.573,
2004-10,0.582,
2005-01,0.576,
2005-04,0.585,
2005-07,0.591,
2005-10,0.621,
2006-01,0.677,
2006-04,0.710,
2006-07,0.761,
2006-10,0.862,
2007-01,0.917,
2007-04,0.936,
2007-07,1.141,
2007-10,1.304,
2008-01,1.349,
2008-04,1.449,
2008-07,1.549,
2008-10,1.521,
2009-01,1.116,
2009-04,0.921,
2009-07,0.887,
2009-10,0.740,
2010-01,0.594,
2010-04,0.553,
2010-07,0.510,
2010-10,0.458,
2011-01,0.457,
2011-04,0.456,
2011-07,0.476,
2011-10,0.534,
2012-01,0.444,
2012-04,0.425,
2012-07,0.387,
2012-10,0.385,
2013-01,0.388,
2013-04,0.358,
2013-07,0.387,
2013-10,0.432,
2014-01,0.388,
2014-04,0.392,
2014-07,0.370,
