"",BBFN1.M.DE.N.1.L.AT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:09,
1982-09,0.672,
1982-10,0.692,
1982-11,0.764,
1982-12,0.619,
1983-01,0.672,
1983-02,0.751,
1983-03,0.746,
1983-04,0.711,
1983-05,0.709,
1983-06,0.680,
1983-07,0.739,
1983-08,0.767,
1983-09,0.753,
1983-10,0.752,
1983-11,0.766,
1983-12,0.770,
1984-01,0.758,
1984-02,0.795,
1984-03,0.809,
1984-04,0.792,
1984-05,0.782,
1984-06,0.824,
1984-07,0.782,
1984-08,0.834,
1984-09,0.836,
1984-10,0.840,
1984-11,0.882,
1984-12,0.861,
1985-01,0.814,
1985-02,0.766,
1985-03,0.784,
1985-04,0.779,
1985-05,0.784,
1985-06,0.748,
1985-07,0.730,
1985-08,0.759,
1985-09,0.741,
1985-10,0.762,
1985-11,0.772,
1985-12,0.692,
1986-01,0.718,
1986-02,0.704,
1986-03,0.692,
1986-04,0.732,
1986-05,0.688,
1986-06,0.706,
1986-07,0.707,
1986-08,0.716,
1986-09,0.666,
1986-10,0.665,
1986-11,0.646,
1986-12,0.606,
1987-01,0.613,
1987-02,0.604,
1987-03,0.587,
1987-04,0.599,
1987-05,0.594,
1987-06,0.602,
1987-07,0.611,
1987-08,0.653,
1987-09,0.586,
1987-10,0.613,
1987-11,0.591,
1987-12,0.594,
1988-01,0.655,
1988-02,0.720,
1988-03,0.775,
1988-04,0.768,
1988-05,0.743,
1988-06,0.813,
1988-07,0.765,
1988-08,0.794,
1988-09,0.757,
1988-10,0.718,
1988-11,0.691,
1988-12,0.627,
1989-01,0.637,
1989-02,0.630,
1989-03,0.618,
1989-04,0.596,
1989-05,0.596,
1989-06,0.612,
1989-07,0.654,
1989-08,0.713,
1989-09,0.912,
1989-10,0.900,
1989-11,0.841,
1989-12,0.788,
1990-01,0.815,
1990-02,0.769,
1990-03,0.804,
1990-04,0.854,
1990-05,0.925,
1990-06,0.912,
1990-07,1.129,
1990-08,1.131,
1990-09,1.224,
1990-10,1.277,
1990-11,1.281,
1990-12,1.325,
1991-01,1.452,
1991-02,1.522,
1991-03,1.554,
1991-04,1.580,
1991-05,1.643,
1991-06,1.627,
1991-07,1.696,
1991-08,1.687,
1991-09,1.687,
1991-10,1.770,
1991-11,1.733,
1991-12,1.514,
1992-01,1.631,
1992-02,1.548,
1992-03,1.586,
1992-04,1.630,
1992-05,1.636,
1992-06,1.602,
1992-07,1.654,
1992-08,1.666,
1992-09,1.512,
1992-10,1.553,
1992-11,1.594,
1992-12,1.518,
1993-01,1.819,
1993-02,2.008,
1993-03,2.060,
1993-04,1.939,
1993-05,1.965,
1993-06,1.925,
1993-07,1.901,
1993-08,1.930,
1993-09,1.971,
1993-10,2.164,
1993-11,2.006,
1993-12,2.060,
1994-01,2.150,
1994-02,2.181,
1994-03,2.261,
1994-04,2.154,
1994-05,1.936,
1994-06,1.767,
1994-07,1.780,
1994-08,1.726,
1994-09,1.730,
1994-10,1.780,
1994-11,1.811,
1994-12,2.163,
1995-01,2.163,
1995-02,2.162,
1995-03,2.302,
1995-04,2.264,
1995-05,2.281,
1995-06,2.345,
1995-07,2.387,
1995-08,2.357,
1995-09,2.418,
1995-10,2.338,
1995-11,2.384,
1995-12,2.419,
1996-01,2.444,
1996-02,2.626,
1996-03,2.592,
1996-04,2.597,
1996-05,2.601,
1996-06,2.508,
1996-07,2.388,
1996-08,2.738,
1996-09,2.816,
1996-10,2.809,
1996-11,2.627,
1996-12,2.693,
1997-01,2.555,
1997-02,2.739,
1997-03,2.852,
1997-04,2.919,
1997-05,2.933,
1997-06,3.058,
1997-07,3.089,
1997-08,3.050,
1997-09,3.136,
1997-10,3.153,
1997-11,3.031,
1997-12,3.395,
1998-01,3.148,
1998-02,3.250,
1998-03,3.245,
1998-04,3.103,
1998-05,3.288,
1998-06,3.205,
1998-07,3.229,
1998-08,3.199,
1998-09,3.310,
1998-10,3.489,
1998-11,3.320,
1998-12,3.343,
1999-01,3.363,
1999-02,3.296,
1999-03,3.320,
1999-04,3.284,
1999-05,3.840,
1999-06,3.821,
1999-07,3.728,
1999-08,4.114,
1999-09,4.431,
1999-10,4.518,
1999-11,4.662,
1999-12,4.809,
2000-01,5.463,
2000-02,5.672,
2000-03,5.506,
2000-04,5.293,
2000-05,5.235,
2000-06,5.397,
2000-07,4.412,
2000-08,5.133,
2000-09,5.272,
2000-10,5.376,
2000-11,5.689,
2000-12,5.631,
2001-01,5.762,
2001-02,5.300,
2001-03,5.521,
2001-04,5.439,
2001-05,5.463,
2001-06,4.607,
2001-07,4.557,
2001-08,4.686,
2001-09,5.963,
2001-10,6.103,
2001-11,5.644,
2001-12,5.447,
2002-01,5.700,
2002-02,6.183,
2002-03,5.728,
2002-04,5.846,
2002-05,5.903,
2002-06,5.796,
2002-07,5.917,
2002-08,5.859,
2002-09,6.077,
2002-10,6.171,
2002-11,6.127,
2002-12,5.531,
2003-01,5.512,
2003-02,5.833,
2003-03,5.642,
2003-04,5.588,
2003-05,5.570,
2003-06,5.663,
2003-07,5.004,
2003-08,5.301,
2003-09,5.559,
2003-10,5.354,
2003-11,5.073,
2003-12,5.075,
2004-01,5.248,
2004-02,5.596,
2004-03,5.435,
2004-04,5.439,
2004-05,5.490,
2004-06,5.580,
2004-07,5.849,
2004-08,5.513,
2004-09,5.705,
2004-10,5.307,
2004-11,4.837,
2004-12,5.411,
2005-01,5.214,
2005-02,5.303,
2005-03,5.378,
2005-04,5.631,
2005-05,5.695,
2005-06,5.708,
2005-07,5.017,
2005-08,5.044,
2005-09,5.512,
2005-10,5.533,
2005-11,5.466,
2005-12,6.084,
2006-01,6.343,
2006-02,6.336,
2006-03,6.257,
2006-04,6.693,
2006-05,7.475,
2006-06,7.326,
2006-07,7.778,
2006-08,8.047,
2006-09,8.198,
2006-10,8.179,
2006-11,8.217,
2006-12,8.822,
2007-01,8.920,
2007-02,9.033,
2007-03,9.216,
2007-04,9.604,
2007-05,9.587,
2007-06,9.687,
2007-07,10.452,
2007-08,10.457,
2007-09,10.947,
2007-10,11.405,
2007-11,11.161,
2007-12,9.382,
2008-01,10.030,
2008-02,10.559,
2008-03,10.796,
2008-04,10.859,
2008-05,11.074,
2008-06,11.499,
2008-07,11.640,
2008-08,11.229,
2008-09,11.214,
2008-10,11.118,
2008-11,10.839,
2008-12,11.661,
2009-01,11.953,
2009-02,11.200,
2009-03,10.859,
2009-04,11.436,
2009-05,11.796,
2009-06,14.004,
2009-07,11.763,
2009-08,12.977,
2009-09,11.953,
2009-10,11.803,
2009-11,11.880,
2009-12,12.232,
2010-01,12.809,
2010-02,12.509,
2010-03,11.666,
2010-04,12.196,
2010-05,12.506,
2010-06,12.533,
2010-07,13.597,
2010-08,13.921,
2010-09,13.906,
2010-10,13.470,
2010-11,14.028,
2010-12,13.486,
2011-01,14.501,
2011-02,14.212,
2011-03,14.247,
2011-04,13.350,
2011-05,13.696,
2011-06,13.512,
2011-07,12.990,
2011-08,13.341,
2011-09,14.042,
2011-10,13.404,
2011-11,15.466,
2011-12,14.006,
2012-01,15.473,
2012-02,14.913,
2012-03,16.074,
2012-04,15.480,
2012-05,15.392,
2012-06,15.055,
2012-07,16.246,
2012-08,15.026,
2012-09,14.549,
2012-10,13.815,
2012-11,13.550,
2012-12,14.633,
2013-01,18.158,
2013-02,17.344,
2013-03,16.863,
2013-04,19.055,
2013-05,18.196,
2013-06,18.359,
2013-07,17.004,
2013-08,16.937,
2013-09,16.907,
2013-10,16.420,
2013-11,17.007,
2013-12,16.494,
2014-01,17.746,
2014-02,17.421,
2014-03,16.216,
2014-04,20.260,
2014-05,19.659,
2014-06,22.930,
2014-07,21.160,
2014-08,23.430,
2014-09,23.957,
2014-10,23.637,
2014-11,23.544,
2014-12,21.039,
