"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:09,
1991-01,115.254,
1991-04,167.294,
1991-07,-240.883,
1991-10,161.600,
1992-01,122.030,
1992-04,13.592,
1992-07,-130.776,
1992-10,229.379,
1993-01,220.808,
1993-04,472.934,
1993-07,80.923,
1993-10,360.306,
1994-01,181.329,
1994-04,-6.523,
1994-07,-201.642,
1994-10,503.392,
1995-01,437.011,
1995-04,168.257,
1995-07,184.957,
1995-10,1258.074,
1996-01,-64.336,
1996-04,188.524,
1996-07,-162.539,
1996-10,2546.886,
1997-01,4076.829,
1997-04,-73.930,
1997-07,-3003.046,
1997-10,837.607,
1998-01,14922.614,
1998-04,2672.436,
1998-07,-7053.047,
1998-10,-1618.603,
1999-01,2486.977,
1999-04,1490.836,
1999-07,2147.767,
1999-10,2721.937,
2000-01,174597.967,
2000-04,20738.611,
2000-07,10167.299,
2000-10,-147325.433,
2001-01,6782.706,
2001-04,-10834.963,
2001-07,-2200.505,
2001-10,-4299.975,
2002-01,3623.900,
2002-04,-3695.304,
2002-07,-1811.594,
2002-10,2397.159,
2003-01,8465.638,
2003-04,979.266,
2003-07,-260.298,
2003-10,-8016.955,
2004-01,-1381.086,
2004-04,-407.780,
2004-07,-1612.305,
2004-10,3143.943,
2005-01,-1437.147,
2005-04,-1433.010,
2005-07,2141.739,
2005-10,-51.094,
2006-01,2550.616,
2006-04,-622.839,
2006-07,430.349,
2006-10,3939.710,
2007-01,881.299,
2007-04,725.829,
2007-07,2306.009,
2007-10,-1029.789,
2008-01,-4964.507,
2008-04,5302.785,
2008-07,1222.280,
2008-10,-3107.726,
2009-01,-4546.454,
2009-04,1547.979,
2009-07,-536.152,
2009-10,1438.414,
2010-01,1509.232,
2010-04,1091.470,
2010-07,2743.333,
2010-10,-119.984,
2011-01,639.481,
2011-04,1188.854,
2011-07,-227.984,
2011-10,4391.762,
2012-01,-1923.515,
2012-04,153.865,
2012-07,-6595.099,
2012-10,1084.729,
2013-01,-2950.501,
2013-04,22.346,
2013-07,-35.957,
2013-10,2225.396,
2014-01,-2360.647,Provisional value
2014-04,-365.647,Provisional value
2014-07,2056.943,Provisional value
2014-10,1245.228,Provisional value
