"",BBK01.OEAL09H,BBK01.OEAL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:46,
2002-01,18.560,
2002-04,18.289,
2002-07,18.017,
2002-10,17.759,
2003-01,16.606,
2003-04,15.552,
2003-07,14.741,
2003-10,15.227,
2004-01,14.765,
2004-04,14.551,
2004-07,14.832,
2004-10,15.541,
2005-01,15.854,
2005-04,15.713,
2005-07,15.070,
2005-10,15.126,
2006-01,15.006,
2006-04,15.275,
2006-07,15.751,
2006-10,16.745,
2007-01,17.172,
2007-04,17.226,
2007-07,17.332,
2007-10,17.877,
2008-01,17.175,
2008-04,16.215,
2008-07,15.375,
2008-10,16.112,
2009-01,17.144,
2009-04,18.408,
2009-07,19.616,
2009-10,20.427,
2010-01,19.691,
2010-04,18.219,
2010-07,16.877,
2010-10,16.701,
2011-01,16.726,
2011-04,16.999,
2011-07,16.895,
2011-10,16.381,
2012-01,15.247,
2012-04,14.422,
2012-07,13.610,
2012-10,13.100,
2013-01,12.580,
2013-04,11.730,
2013-07,11.242,
2013-10,11.603,
2014-01,11.945,
2014-04,12.179,
2014-07,12.583,
