"",BBDE1.M.DE.Y.AEB5.A2Q501000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2Q501000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Intermediate and capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:28,
1991-01,48.2,
1991-02,45.6,
1991-03,47.0,
1991-04,46.4,
1991-05,45.7,
1991-06,46.4,
1991-07,47.0,
1991-08,51.2,
1991-09,46.3,
1991-10,47.6,
1991-11,47.2,
1991-12,50.6,
1992-01,46.6,
1992-02,47.0,
1992-03,48.1,
1992-04,45.8,
1992-05,44.7,
1992-06,44.2,
1992-07,43.8,
1992-08,43.9,
1992-09,43.5,
1992-10,39.8,
1992-11,42.9,
1992-12,42.3,
1993-01,41.7,
1993-02,41.9,
1993-03,41.2,
1993-04,41.8,
1993-05,42.3,
1993-06,42.5,
1993-07,42.1,
1993-08,41.6,
1993-09,44.0,
1993-10,43.9,
1993-11,44.5,
1993-12,46.7,
1994-01,43.1,
1994-02,45.1,
1994-03,48.5,
1994-04,47.3,
1994-05,46.4,
1994-06,48.6,
1994-07,46.9,
1994-08,46.2,
1994-09,49.8,
1994-10,50.3,
1994-11,51.5,
1994-12,53.1,
1995-01,48.4,
1995-02,50.0,
1995-03,50.0,
1995-04,47.2,
1995-05,47.9,
1995-06,47.6,
1995-07,48.5,
1995-08,46.6,
1995-09,48.3,
1995-10,46.1,
1995-11,46.5,
1995-12,49.3,
1996-01,47.4,
1996-02,48.9,
1996-03,50.7,
1996-04,49.9,
1996-05,51.0,
1996-06,49.2,
1996-07,51.8,
1996-08,51.9,
1996-09,51.0,
1996-10,53.3,
1996-11,53.0,
1996-12,52.2,
1997-01,54.7,
1997-02,54.8,
1997-03,56.5,
1997-04,58.3,
1997-05,55.8,
1997-06,57.4,
1997-07,57.4,
1997-08,60.0,
1997-09,61.3,
1997-10,59.8,
1997-11,58.1,
1997-12,60.4,
1998-01,59.6,
1998-02,59.5,
1998-03,61.2,
1998-04,61.9,
1998-05,60.0,
1998-06,59.8,
1998-07,59.3,
1998-08,57.8,
1998-09,60.3,
1998-10,57.7,
1998-11,56.0,
1998-12,61.0,
1999-01,56.7,
1999-02,59.4,
1999-03,59.5,
1999-04,60.6,
1999-05,59.9,
1999-06,62.2,
1999-07,63.3,
1999-08,68.5,
1999-09,67.3,
1999-10,66.0,
1999-11,67.9,
1999-12,69.4,
2000-01,65.5,
2000-02,70.3,
2000-03,75.0,
2000-04,72.1,
2000-05,73.6,
2000-06,75.6,
2000-07,76.8,
2000-08,78.3,
2000-09,77.5,
2000-10,78.3,
2000-11,78.1,
2000-12,81.0,
2001-01,75.1,
2001-02,76.2,
2001-03,73.9,
2001-04,71.2,
2001-05,76.7,
2001-06,77.2,
2001-07,72.8,
2001-08,73.0,
2001-09,70.4,
2001-10,70.0,
2001-11,70.9,
2001-12,75.1,
2002-01,72.3,
2002-02,73.5,
2002-03,75.9,
2002-04,75.5,
2002-05,81.9,
2002-06,77.8,
2002-07,75.8,
2002-08,78.7,
2002-09,76.4,
2002-10,75.8,
2002-11,78.4,
2002-12,73.3,
2003-01,78.0,
2003-02,75.3,
2003-03,75.7,
2003-04,75.6,
2003-05,72.0,
2003-06,77.0,
2003-07,76.1,
2003-08,77.9,
2003-09,78.8,
2003-10,78.3,
2003-11,78.7,
2003-12,83.0,
2004-01,80.3,
2004-02,79.8,
2004-03,82.0,
2004-04,84.0,
2004-05,86.4,
2004-06,84.1,
2004-07,85.4,
2004-08,83.0,
2004-09,86.3,
2004-10,82.9,
2004-11,81.9,
2004-12,89.2,
2005-01,87.1,
2005-02,85.0,
2005-03,87.6,
2005-04,86.3,
2005-05,87.7,
2005-06,90.0,
