"",BBK01.OEHJ03G,BBK01.OEHJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:25,
2002-01,4.225,
2002-04,4.347,
2002-07,4.464,
2002-10,4.486,
2003-01,4.294,
2003-04,3.972,
2003-07,3.870,
2003-10,4.111,
2004-01,3.675,
2004-04,3.573,
2004-07,3.620,
2004-10,4.145,
2005-01,3.727,
2005-04,3.551,
2005-07,3.527,
2005-10,4.013,
2006-01,3.660,
2006-04,3.729,
2006-07,3.769,
2006-10,3.900,
2007-01,3.846,
2007-04,3.786,
2007-07,3.742,
2007-10,3.774,
2008-01,3.727,
2008-04,4.020,
2008-07,4.145,
2008-10,4.517,
2009-01,3.844,
2009-04,3.450,
2009-07,3.169,
2009-10,3.478,
2010-01,3.160,
2010-04,3.339,
2010-07,3.495,
2010-10,3.902,
2011-01,3.602,
2011-04,3.907,
2011-07,4.001,
2011-10,4.538,
2012-01,3.908,
2012-04,3.601,
2012-07,3.522,
2012-10,3.661,
2013-01,3.424,
2013-04,3.106,
2013-07,3.382,
2013-10,3.390,
2014-01,3.420,
2014-04,3.734,
2014-07,3.677,
