"",BBK01.OEAC08G,BBK01.OEAC08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:19,
2002-01,3.917,
2002-04,3.878,
2002-07,4.802,
2002-10,4.464,
2003-01,4.609,
2003-04,6.752,
2003-07,4.220,
2003-10,4.668,
2004-01,5.520,
2004-04,5.961,
2004-07,4.345,
2004-10,5.171,
2005-01,5.855,
2005-04,7.300,
2005-07,6.706,
2005-10,6.148,
2006-01,7.058,
2006-04,6.336,
2006-07,7.651,
2006-10,6.938,
2007-01,7.509,
2007-04,7.549,
2007-07,9.927,
2007-10,10.838,
2008-01,7.388,
2008-04,7.831,
2008-07,7.677,
2008-10,8.276,
2009-01,9.271,
2009-04,12.423,
2009-07,12.476,
2009-10,12.946,
2010-01,15.583,
2010-04,15.509,
2010-07,17.182,
2010-10,18.042,
2011-01,17.910,
2011-04,16.564,
2011-07,17.734,
2011-10,19.031,
2012-01,18.643,
2012-04,20.399,
2012-07,21.175,
2012-10,20.970,
2013-01,21.170,
2013-04,20.083,
2013-07,16.037,
2013-10,16.705,
2014-01,16.640,
2014-04,15.912,
2014-07,16.734,
