"",BBK01.OEYK04O,BBK01.OEYK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:08,
2002-01,0.028,
2002-04,0.028,
2002-07,0.029,
2002-10,0.030,
2003-01,0.032,
2003-04,0.033,
2003-07,0.037,
2003-10,0.038,
2004-01,0.040,
2004-04,0.041,
2004-07,0.038,
2004-10,0.036,
2005-01,0.044,
2005-04,0.046,
2005-07,0.050,
2005-10,0.057,
2006-01,0.056,
2006-04,0.061,
2006-07,0.064,
2006-10,0.060,
2007-01,0.067,
2007-04,0.060,
2007-07,0.061,
2007-10,0.114,
2008-01,0.098,
2008-04,0.104,
2008-07,0.072,
2008-10,0.189,
2009-01,0.083,
2009-04,0.088,
2009-07,0.088,
2009-10,0.197,
2010-01,0.068,
2010-04,0.075,
2010-07,0.065,
2010-10,0.059,
2011-01,0.031,
2011-04,0.042,
2011-07,0.028,
2011-10,0.040,
2012-01,0.026,
2012-04,0.038,
2012-07,0.026,
2012-10,0.041,
2013-01,0.027,
2013-04,0.034,
2013-07,0.026,
2013-10,0.032,
2014-01,0.028,
2014-04,0.034,
2014-07,0.029,
