"",BBK01.OEAB04R,BBK01.OEAB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:16,
2002-01,15.611,
2002-04,15.689,
2002-07,15.807,
2002-10,16.090,
2003-01,16.221,
2003-04,16.205,
2003-07,16.210,
2003-10,16.186,
2004-01,16.215,
2004-04,16.164,
2004-07,16.104,
2004-10,16.118,
2005-01,16.848,
2005-04,16.797,
2005-07,16.805,
2005-10,16.701,
2006-01,16.670,
2006-04,16.816,
2006-07,16.911,
2006-10,16.943,
2007-01,16.418,
2007-04,16.105,
2007-07,16.085,
2007-10,16.300,
2008-01,26.644,
2008-04,16.454,
2008-07,16.821,
2008-10,16.975,
2009-01,16.870,
2009-04,17.403,
2009-07,17.514,
2009-10,17.849,
2010-01,18.044,
2010-04,18.223,
2010-07,18.492,
2010-10,18.757,
2011-01,18.871,
2011-04,18.974,
2011-07,19.142,
2011-10,19.534,
2012-01,19.678,
2012-04,20.328,
2012-07,20.685,
2012-10,21.029,
2013-01,21.062,
2013-04,21.306,
2013-07,21.561,
2013-10,21.858,
2014-01,22.023,
2014-04,22.052,
2014-07,22.229,
