"",BBFN1.M.DE.N.1.L.BM.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:16,
1982-09,0.253,
1982-10,0.252,
1982-11,0.254,
1982-12,0.275,
1983-01,0.435,
1983-02,0.178,
1983-03,0.333,
1983-04,0.334,
1983-05,0.311,
1983-06,0.302,
1983-07,0.303,
1983-08,0.292,
1983-09,0.264,
1983-10,0.283,
1983-11,0.287,
1983-12,0.242,
1984-01,0.150,
1984-02,0.189,
1984-03,0.162,
1984-04,0.161,
1984-05,0.166,
1984-06,0.177,
1984-07,0.186,
1984-08,0.180,
1984-09,0.184,
1984-10,0.203,
1984-11,0.217,
1984-12,0.223,
1985-01,0.222,
1985-02,0.230,
1985-03,0.225,
1985-04,0.222,
1985-05,0.209,
1985-06,0.218,
1985-07,0.201,
1985-08,0.210,
1985-09,0.201,
1985-10,0.204,
1985-11,0.205,
1985-12,0.140,
1986-01,0.139,
1986-02,0.134,
1986-03,0.131,
1986-04,0.115,
1986-05,0.112,
1986-06,0.112,
1986-07,0.114,
1986-08,0.114,
1986-09,0.111,
1986-10,0.114,
1986-11,0.112,
1986-12,0.118,
1987-01,0.095,
1987-02,0.106,
1987-03,0.111,
1987-04,0.106,
1987-05,0.105,
1987-06,0.106,
1987-07,0.108,
1987-08,0.112,
1987-09,0.106,
1987-10,0.105,
1987-11,0.106,
1987-12,0.110,
1988-01,0.112,
1988-02,0.114,
1988-03,0.118,
1988-04,0.130,
1988-05,0.170,
1988-06,0.166,
1988-07,0.172,
1988-08,0.152,
1988-09,0.283,
1988-10,0.284,
1988-11,0.232,
1988-12,0.033,
1989-01,0.028,
1989-02,0.021,
1989-03,0.024,
1989-04,0.044,
1989-05,0.057,
1989-06,0.042,
1989-07,0.178,
1989-08,0.180,
1989-09,0.048,
1989-10,0.165,
1989-11,0.109,
1989-12,0.051,
1990-01,0.038,
1990-02,0.043,
1990-03,0.043,
1990-04,0.054,
1990-05,0.119,
1990-06,0.120,
1990-07,0.130,
1990-08,0.130,
1990-09,0.123,
1990-10,0.099,
1990-11,0.107,
1990-12,0.130,
1991-01,0.122,
1991-02,0.099,
1991-03,0.101,
1991-04,0.105,
1991-05,0.340,
1991-06,0.386,
1991-07,0.386,
1991-08,0.395,
1991-09,0.395,
1991-10,0.392,
1991-11,0.176,
1991-12,0.129,
1992-01,0.148,
1992-02,0.397,
1992-03,0.370,
1992-04,0.435,
1992-05,0.446,
1992-06,0.442,
1992-07,0.472,
1992-08,0.471,
1992-09,0.469,
1992-10,0.457,
1992-11,0.675,
1992-12,0.646,
1993-01,0.485,
1993-02,0.687,
1993-03,0.309,
1993-04,0.353,
1993-05,0.334,
1993-06,0.335,
1993-07,0.382,
1993-08,0.501,
1993-09,0.489,
1993-10,0.498,
1993-11,0.538,
1993-12,0.467,
1994-01,0.471,
1994-02,0.491,
1994-03,0.447,
1994-04,0.483,
1994-05,0.501,
1994-06,0.490,
1994-07,0.446,
1994-08,0.331,
1994-09,0.331,
1994-10,0.371,
1994-11,0.342,
1994-12,0.341,
1995-01,0.665,
1995-02,0.666,
1995-03,0.679,
1995-04,0.673,
1995-05,0.672,
1995-06,0.659,
1995-07,0.646,
1995-08,0.646,
1995-09,1.175,
1995-10,1.176,
1995-11,1.376,
1995-12,1.766,
1996-01,1.401,
1996-02,1.349,
1996-03,1.443,
1996-04,1.442,
