"",BBK01.OEHI01M,BBK01.OEHI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:27,
2002-01,51.628,
2002-04,51.549,
2002-07,51.390,
2002-10,52.913,
2003-01,52.820,
2003-04,52.338,
2003-07,51.994,
2003-10,53.184,
2004-01,52.741,
2004-04,52.665,
2004-07,51.971,
2004-10,53.598,
2005-01,53.104,
2005-04,53.019,
2005-07,53.007,
2005-10,53.909,
2006-01,53.509,
2006-04,53.317,
2006-07,53.374,
2006-10,54.635,
2007-01,54.106,
2007-04,54.411,
2007-07,54.799,
2007-10,56.325,
2008-01,55.598,
2008-04,55.842,
2008-07,56.144,
2008-10,59.026,
2009-01,59.149,
2009-04,58.664,
2009-07,58.596,
2009-10,59.780,
2010-01,60.119,
2010-04,60.797,
2010-07,60.888,
2010-10,61.878,
2011-01,61.264,
2011-04,61.802,
2011-07,62.241,
2011-10,63.266,
2012-01,62.905,
2012-04,63.196,
2012-07,63.913,
2012-10,64.790,
2013-01,64.795,
2013-04,65.364,
2013-07,65.765,
2013-10,66.552,
2014-01,66.726,
2014-04,67.193,
2014-07,67.122,
