"",BBFB1.Q.N.DE.GB.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:16,
1991-01,619.557,
1991-04,375.598,
1991-07,573.861,
1991-10,812.958,
1992-01,504.112,
1992-04,231.140,
1992-07,418.686,
1992-10,386.996,
1993-01,150.882,
1993-04,-155.383,
1993-07,61.690,
1993-10,-16.995,
1994-01,-75.291,
1994-04,-281.757,
1994-07,78.048,
1994-10,-5.750,
1995-01,170.057,
1995-04,-317.062,
1995-07,19.947,
1995-10,-49.723,
1996-01,-172.201,
1996-04,-565.959,
1996-07,-870.436,
1996-10,-433.645,
1997-01,-853.084,
1997-04,-1431.797,
1997-07,-963.846,
1997-10,-889.781,
1998-01,-1716.871,
1998-04,-2763.667,
1998-07,-2668.032,
1998-10,-3120.558,
1999-01,-2470.474,
1999-04,-3375.468,
1999-07,-2858.508,
1999-10,-2794.192,
2000-01,-4255.493,
2000-04,-5670.948,
2000-07,-4606.407,
2000-10,-4515.590,
2001-01,-1650.176,
2001-04,-1314.352,
2001-07,-894.651,
2001-10,-338.381,
2002-01,-2277.435,
2002-04,-3020.067,
2002-07,-2339.407,
2002-10,-2268.152,
2003-01,-536.500,
2003-04,-1836.651,
2003-07,-463.909,
2003-10,-141.902,
2004-01,-1672.368,
2004-04,-3402.891,
2004-07,-1414.926,
2004-10,-978.167,
2005-01,-239.006,
2005-04,-1851.749,
2005-07,59.355,
2005-10,198.464,
2006-01,-896.838,
2006-04,-2552.123,
2006-07,372.164,
2006-10,606.914,
2007-01,27.647,
2007-04,-6241.312,
2007-07,-149.712,
2007-10,728.584,
2008-01,-1638.382,
2008-04,-7121.033,
2008-07,-1090.442,
2008-10,-1253.151,
2009-01,-264.116,
2009-04,-4574.503,
2009-07,302.958,
2009-10,530.475,
2010-01,1298.765,
2010-04,-2284.954,
2010-07,1828.236,
2010-10,2996.522,
2011-01,1363.051,
2011-04,-1947.369,
2011-07,1862.529,
2011-10,1942.071,
2012-01,1348.093,
2012-04,-2142.658,
2012-07,1971.286,
2012-10,1856.325,
2013-01,444.422,
2013-04,-997.318,
2013-07,666.849,
2013-10,752.973,
2014-01,652.926,Provisional value
2014-04,-3748.273,Provisional value
2014-07,551.244,Provisional value
