"",BBK01.OEAH77Q,BBK01.OEAH77Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:25,
2002-01,0.664,
2002-04,0.658,
2002-07,0.495,
2002-10,0.604,
2003-01,0.484,
2003-04,0.493,
2003-07,0.474,
2003-10,0.491,
2004-01,0.453,
2004-04,0.460,
2004-07,0.463,
2004-10,0.552,
2005-01,0.554,
2005-04,0.565,
2005-07,0.550,
2005-10,0.553,
2006-01,0.555,
2006-04,0.606,
2006-07,0.596,
2006-10,0.617,
2007-01,0.600,
2007-04,0.601,
2007-07,0.600,
2007-10,0.623,
2008-01,0.611,
2008-04,0.644,
2008-07,0.659,
2008-10,0.658,
2009-01,0.725,
2009-04,0.619,
2009-07,0.589,
2009-10,0.614,
2010-01,0.606,
2010-04,0.641,
2010-07,0.660,
2010-10,0.772,
2011-01,0.719,
2011-04,0.733,
2011-07,0.763,
2011-10,0.756,
2012-01,0.746,
2012-04,0.818,
2012-07,0.815,
2012-10,0.846,
2013-01,0.834,
2013-04,1.442,
2013-07,1.916,
2013-10,2.089,
2014-01,2.145,
2014-04,2.241,
2014-07,2.418,
