"",BBK01.OEAA17K,BBK01.OEAA17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:59,
2002-01,50.445,
2002-04,50.680,
2002-07,50.962,
2002-10,51.952,
2003-01,50.882,
2003-04,51.844,
2003-07,52.987,
2003-10,54.013,
2004-01,55.387,
2004-04,61.042,
2004-07,60.493,
2004-10,57.980,
2005-01,57.072,
2005-04,57.501,
2005-07,58.757,
2005-10,60.406,
2006-01,59.826,
2006-04,60.939,
2006-07,61.233,
2006-10,60.677,
2007-01,57.248,
2007-04,57.535,
2007-07,58.679,
2007-10,58.162,
2008-01,63.434,
2008-04,66.233,
2008-07,69.173,
2008-10,70.920,
2009-01,71.197,
2009-04,72.873,
2009-07,70.955,
2009-10,66.632,
2010-01,67.452,
2010-04,69.845,
2010-07,71.476,
2010-10,72.164,
2011-01,70.443,
2011-04,70.075,
2011-07,77.194,
2011-10,77.852,
2012-01,77.106,
2012-04,78.298,
2012-07,78.599,
2012-10,73.727,
2013-01,73.507,
2013-04,74.635,
2013-07,74.492,
2013-10,68.954,
2014-01,68.758,
2014-04,70.323,
2014-07,70.244,
