"",BBK01.CEFF50,BBK01.CEFF50_FLAGS
"",long-term loans                                            debtor: OFI             creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:58,
1999-01,69.9,
1999-04,72.9,
1999-07,66.0,
1999-10,65.6,
2000-01,82.7,
2000-04,86.5,
2000-07,90.0,
2000-10,143.9,
2001-01,151.7,
2001-04,155.9,
2001-07,170.5,
2001-10,179.9,
2002-01,183.0,
2002-04,206.7,
2002-07,212.7,
2002-10,228.0,
2003-01,222.4,
2003-04,224.4,
2003-07,231.0,
2003-10,214.3,
2004-01,190.2,
2004-04,197.6,
2004-07,200.6,
2004-10,187.8,
2005-01,192.5,
2005-04,195.9,
2005-07,197.5,
2005-10,204.1,
2006-01,211.6,
2006-04,221.3,
2006-07,227.0,
2006-10,231.2,
2007-01,232.3,
2007-04,234.0,
2007-07,243.3,
2007-10,238.4,
2008-01,255.1,
2008-04,260.2,
2008-07,269.4,
2008-10,288.5,
2009-01,292.0,
2009-04,297.2,
2009-07,304.6,
2009-10,309.5,
2010-01,322.0,
2010-04,334.6,
2010-07,336.4,
2010-10,348.9,
2011-01,348.2,
2011-04,343.8,
2011-07,349.5,
2011-10,350.1,
2012-01,355.6,
2012-04,358.0,
2012-07,359.7,
2012-10,349.8,
2013-01,351.5,
2013-04,350.0,
2013-07,345.5,
2013-10,326.2,
2014-01,328.7,
2014-04,332.8,
2014-07,336.4,
