"",BBK01.OEXJ04O,BBK01.OEXJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:43,
2002-01,0.029,
2002-04,-0.015,
2002-07,-0.008,
2002-10,0.206,
2003-01,-0.249,
2003-04,-0.956,
2003-07,0.070,
2003-10,0.221,
2004-01,0.294,
2004-04,-0.099,
2004-07,0.219,
2004-10,0.304,
2005-01,0.322,
2005-04,0.268,
2005-07,0.284,
2005-10,0.258,
2006-01,0.223,
2006-04,0.217,
2006-07,0.268,
2006-10,0.325,
2007-01,0.280,
2007-04,0.221,
2007-07,0.269,
2007-10,0.315,
2008-01,0.310,
2008-04,0.265,
2008-07,0.306,
2008-10,0.306,
2009-01,0.262,
2009-04,0.294,
2009-07,0.284,
2009-10,0.278,
2010-01,0.277,
2010-04,0.297,
2010-07,0.340,
2010-10,0.425,
2011-01,0.393,
2011-04,0.372,
2011-07,0.358,
2011-10,0.401,
2012-01,0.388,
2012-04,0.395,
2012-07,0.416,
2012-10,0.477,
2013-01,0.419,
2013-04,0.432,
2013-07,0.443,
2013-10,0.429,
2014-01,0.422,
2014-04,0.430,
2014-07,0.449,
