"",BBK01.OEAD15H,BBK01.OEAD15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:47,
2002-01,0.982,
2002-04,0.947,
2002-07,0.867,
2002-10,0.811,
2003-01,0.851,
2003-04,0.862,
2003-07,0.777,
2003-10,0.752,
2004-01,0.744,
2004-04,0.727,
2004-07,0.731,
2004-10,0.672,
2005-01,0.758,
2005-04,0.738,
2005-07,0.715,
2005-10,0.624,
2006-01,0.711,
2006-04,0.719,
2006-07,0.754,
2006-10,0.660,
2007-01,0.716,
2007-04,0.763,
2007-07,0.696,
2007-10,0.678,
2008-01,0.717,
2008-04,0.773,
2008-07,0.773,
2008-10,0.652,
2009-01,0.760,
2009-04,0.752,
2009-07,0.727,
2009-10,0.621,
2010-01,0.654,
2010-04,0.654,
2010-07,0.660,
2010-10,0.655,
2011-01,0.686,
2011-04,0.730,
2011-07,0.695,
2011-10,0.674,
2012-01,0.722,
2012-04,0.744,
2012-07,0.675,
2012-10,0.647,
2013-01,0.738,
2013-04,0.703,
2013-07,0.772,
2013-10,0.658,
2014-01,0.702,
2014-04,0.655,
2014-07,0.612,
