"",BBK01.OEXL03I,BBK01.OEXL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:00,
2002-01,1.975,
2002-04,1.731,
2002-07,1.701,
2002-10,1.601,
2003-01,1.498,
2003-04,1.355,
2003-07,1.008,
2003-10,0.918,
2004-01,0.821,
2004-04,0.783,
2004-07,0.733,
2004-10,0.646,
2005-01,0.597,
2005-04,0.607,
2005-07,0.592,
2005-10,0.804,
2006-01,0.623,
2006-04,0.619,
2006-07,0.730,
2006-10,1.396,
2007-01,1.336,
2007-04,1.358,
2007-07,1.438,
2007-10,1.577,
2008-01,1.832,
2008-04,2.001,
2008-07,2.159,
2008-10,2.298,
2009-01,1.658,
2009-04,1.295,
2009-07,0.932,
2009-10,0.672,
2010-01,0.737,
2010-04,0.812,
2010-07,0.735,
2010-10,0.784,
2011-01,1.535,
2011-04,2.309,
2011-07,2.880,
2011-10,3.767,
2012-01,4.581,
2012-04,4.516,
2012-07,4.478,
2012-10,4.198,
2013-01,3.755,
2013-04,3.533,
2013-07,3.286,
2013-10,3.203,
2014-01,3.090,
2014-04,3.008,
2014-07,3.004,
