"",BBK01.OEAC23H,BBK01.OEAC23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:07,
2002-01,1.932,
2002-04,1.210,
2002-07,3.588,
2002-10,2.221,
2003-01,4.345,
2003-04,3.662,
2003-07,4.092,
2003-10,2.506,
2004-01,6.672,
2004-04,6.126,
2004-07,6.800,
2004-10,6.833,
2005-01,5.410,
2005-04,7.650,
2005-07,10.547,
2005-10,4.582,
2006-01,16.079,
2006-04,10.576,
2006-07,17.525,
2006-10,9.838,
2007-01,16.650,
2007-04,11.603,
2007-07,16.416,
2007-10,9.275,
2008-01,20.226,
2008-04,26.474,
2008-07,27.188,
2008-10,7.386,
2009-01,13.724,
2009-04,15.687,
2009-07,16.747,
2009-10,9.288,
2010-01,12.048,
2010-04,10.342,
2010-07,12.918,
2010-10,8.984,
2011-01,6.120,
2011-04,6.905,
2011-07,3.764,
2011-10,3.693,
2012-01,10.373,
2012-04,6.239,
2012-07,11.551,
2012-10,7.401,
2013-01,12.657,
2013-04,14.785,
2013-07,2.599,
2013-10,3.449,
2014-01,3.292,
2014-04,3.075,
2014-07,4.540,
