"",BBK01.OECJ04T,BBK01.OECJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:34,
2002-01,0.277,
2002-04,0.272,
2002-07,0.204,
2002-10,0.195,
2003-01,0.180,
2003-04,0.168,
2003-07,0.163,
2003-10,0.145,
2004-01,0.134,
2004-04,0.124,
2004-07,0.119,
2004-10,0.205,
2005-01,0.149,
2005-04,0.123,
2005-07,0.124,
2005-10,0.165,
2006-01,0.122,
2006-04,0.141,
2006-07,0.160,
2006-10,0.316,
2007-01,0.182,
2007-04,0.149,
2007-07,0.207,
2007-10,0.215,
2008-01,0.207,
2008-04,0.221,
2008-07,0.242,
2008-10,0.194,
2009-01,0.157,
2009-04,0.146,
2009-07,0.126,
2009-10,0.123,
2010-01,0.105,
2010-04,0.112,
2010-07,0.140,
2010-10,0.133,
2011-01,0.132,
2011-04,0.188,
2011-07,0.179,
2011-10,0.161,
2012-01,0.136,
2012-04,0.146,
2012-07,0.140,
2012-10,0.120,
2013-01,0.471,
2013-04,0.122,
2013-07,0.120,
2013-10,0.129,
2014-01,0.133,
2014-04,0.152,
2014-07,0.145,
