"",BBK01.OECL02S,BBK01.OECL02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:29,
2002-01,0.386,
2002-04,0.463,
2002-07,0.452,
2002-10,0.457,
2003-01,0.435,
2003-04,0.420,
2003-07,0.409,
2003-10,0.437,
2004-01,0.410,
2004-04,0.414,
2004-07,0.395,
2004-10,0.393,
2005-01,0.702,
2005-04,0.713,
2005-07,0.723,
2005-10,0.748,
2006-01,0.747,
2006-04,0.734,
2006-07,0.719,
2006-10,0.741,
2007-01,0.757,
2007-04,0.797,
2007-07,0.826,
2007-10,0.870,
2008-01,0.881,
2008-04,0.869,
2008-07,0.931,
2008-10,1.063,
2009-01,1.094,
2009-04,1.100,
2009-07,1.083,
2009-10,1.084,
2010-01,1.106,
2010-04,1.140,
2010-07,1.159,
2010-10,1.208,
2011-01,1.186,
2011-04,1.187,
2011-07,1.226,
2011-10,1.257,
2012-01,1.249,
2012-04,1.289,
2012-07,1.342,
2012-10,1.393,
2013-01,1.420,
2013-04,1.450,
2013-07,1.445,
2013-10,1.488,
2014-01,1.512,
2014-04,1.558,
2014-07,1.588,
