"",BBK01.OECI09L,BBK01.OECI09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:14,
2002-01,0.277,
2002-04,0.283,
2002-07,0.287,
2002-10,0.287,
2003-01,0.268,
2003-04,0.258,
2003-07,0.247,
2003-10,0.247,
2004-01,0.234,
2004-04,0.229,
2004-07,0.226,
2004-10,0.229,
2005-01,0.246,
2005-04,0.239,
2005-07,0.223,
2005-10,0.224,
2006-01,0.222,
2006-04,0.220,
2006-07,0.220,
2006-10,0.221,
2007-01,0.235,
2007-04,0.242,
2007-07,0.251,
2007-10,0.269,
2008-01,0.299,
2008-04,0.327,
2008-07,0.381,
2008-10,0.583,
2009-01,0.597,
2009-04,0.590,
2009-07,0.573,
2009-10,0.462,
2010-01,0.377,
2010-04,0.357,
2010-07,0.332,
2010-10,0.346,
2011-01,0.378,
2011-04,0.398,
2011-07,0.408,
2011-10,0.404,
2012-01,0.401,
2012-04,0.385,
2012-07,0.363,
2012-10,0.336,
2013-01,0.293,
2013-04,0.266,
2013-07,0.259,
2013-10,0.252,
2014-01,0.245,
2014-04,0.238,
2014-07,0.283,
