"",BBK01.OEAA10V,BBK01.OEAA10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:05,
2002-01,6.489,
2002-04,7.197,
2002-07,6.806,
2002-10,7.464,
2003-01,6.522,
2003-04,6.238,
2003-07,6.257,
2003-10,6.260,
2004-01,5.847,
2004-04,5.807,
2004-07,5.595,
2004-10,5.310,
2005-01,5.304,
2005-04,5.167,
2005-07,5.193,
2005-10,4.959,
2006-01,4.808,
2006-04,4.624,
2006-07,4.547,
2006-10,4.427,
2007-01,4.171,
2007-04,4.108,
2007-07,4.034,
2007-10,4.500,
2008-01,4.058,
2008-04,3.792,
2008-07,3.969,
2008-10,3.856,
2009-01,3.705,
2009-04,3.787,
2009-07,3.645,
2009-10,3.585,
2010-01,3.494,
2010-04,3.672,
2010-07,3.609,
2010-10,3.278,
2011-01,3.106,
2011-04,3.235,
2011-07,3.422,
2011-10,3.311,
2012-01,3.155,
2012-04,3.182,
2012-07,3.177,
2012-10,3.112,
2013-01,3.138,
2013-04,3.091,
2013-07,3.357,
2013-10,3.109,
2014-01,3.129,
2014-04,3.342,
2014-07,3.350,
