"",BBK01.OEHO01Q,BBK01.OEHO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:04,
2002-01,8.482,
2002-04,8.368,
2002-07,8.278,
2002-10,8.230,
2003-01,8.365,
2003-04,8.300,
2003-07,8.157,
2003-10,8.079,
2004-01,8.146,
2004-04,8.062,
2004-07,7.982,
2004-10,7.952,
2005-01,8.049,
2005-04,8.033,
2005-07,7.986,
2005-10,7.940,
2006-01,7.989,
2006-04,7.887,
2006-07,7.798,
2006-10,7.686,
2007-01,7.644,
2007-04,7.488,
2007-07,7.355,
2007-10,7.281,
2008-01,7.397,
2008-04,7.305,
2008-07,7.262,
2008-10,7.225,
2009-01,7.509,
2009-04,7.546,
2009-07,7.479,
2009-10,7.376,
2010-01,7.445,
2010-04,7.438,
2010-07,7.428,
2010-10,7.466,
2011-01,7.571,
2011-04,7.627,
2011-07,7.695,
2011-10,7.723,
2012-01,7.964,
2012-04,8.082,
2012-07,8.152,
2012-10,8.139,
2013-01,8.105,
2013-04,8.078,
2013-07,8.106,
2013-10,8.036,
2014-01,8.111,
2014-04,8.124,
2014-07,8.013,
