"",BBK01.OEAK04Q,BBK01.OEAK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:27,
2002-01,1.094,
2002-04,1.044,
2002-07,1.025,
2002-10,1.008,
2003-01,0.937,
2003-04,0.875,
2003-07,0.833,
2003-10,0.827,
2004-01,0.796,
2004-04,0.735,
2004-07,0.751,
2004-10,0.827,
2005-01,0.902,
2005-04,0.711,
2005-07,0.707,
2005-10,0.680,
2006-01,0.757,
2006-04,0.832,
2006-07,0.967,
2006-10,1.084,
2007-01,1.141,
2007-04,1.181,
2007-07,1.343,
2007-10,1.525,
2008-01,1.539,
2008-04,1.563,
2008-07,1.714,
2008-10,1.665,
2009-01,0.928,
2009-04,0.745,
2009-07,0.643,
2009-10,0.496,
2010-01,0.434,
2010-04,0.398,
2010-07,0.368,
2010-10,0.442,
2011-01,0.423,
2011-04,0.449,
2011-07,0.430,
2011-10,0.404,
2012-01,0.415,
2012-04,0.363,
2012-07,0.312,
2012-10,0.284,
2013-01,0.264,
2013-04,0.250,
2013-07,0.255,
2013-10,0.266,
2014-01,0.252,
2014-04,0.246,
2014-07,0.238,
