"",BBK01.OEAE30R,BBK01.OEAE30R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:44,
2002-01,0.085,
2002-04,0.088,
2002-07,0.086,
2002-10,0.082,
2003-01,0.072,
2003-04,0.073,
2003-07,0.071,
2003-10,0.069,
2004-01,0.069,
2004-04,0.058,
2004-07,0.055,
2004-10,0.058,
2005-01,0.057,
2005-04,0.062,
2005-07,0.069,
2005-10,0.059,
2006-01,0.063,
2006-04,0.059,
2006-07,0.060,
2006-10,0.059,
2007-01,0.060,
2007-04,0.060,
2007-07,0.059,
2007-10,0.060,
2008-01,0.059,
2008-04,0.058,
2008-07,0.057,
2008-10,0.056,
2009-01,0.056,
2009-04,0.058,
2009-07,0.056,
2009-10,0.046,
2010-01,0.052,
2010-04,0.045,
2010-07,0.044,
2010-10,0.076,
2011-01,0.064,
2011-04,0.065,
2011-07,0.062,
2011-10,0.090,
2012-01,0.123,
2012-04,0.122,
2012-07,0.123,
2012-10,0.123,
2013-01,0.159,
2013-04,0.161,
2013-07,0.160,
2013-10,0.167,
2014-01,0.163,
2014-04,0.167,
2014-07,0.166,
