"",BBK01.OECM03O,BBK01.OECM03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:37,
2002-01,0.289,
2002-04,0.410,
2002-07,0.424,
2002-10,0.367,
2003-01,0.441,
2003-04,0.442,
2003-07,0.401,
2003-10,0.350,
2004-01,0.314,
2004-04,0.332,
2004-07,0.307,
2004-10,0.295,
2005-01,0.257,
2005-04,0.165,
2005-07,0.157,
2005-10,0.086,
2006-01,0.064,
2006-04,0.093,
2006-07,0.083,
2006-10,0.083,
2007-01,0.074,
2007-04,0.113,
2007-07,0.138,
2007-10,0.165,
2008-01,0.209,
2008-04,0.222,
2008-07,0.311,
2008-10,0.334,
2009-01,0.282,
2009-04,0.221,
2009-07,0.192,
2009-10,0.082,
2010-01,0.068,
2010-04,0.071,
2010-07,0.078,
2010-10,0.064,
2011-01,0.055,
2011-04,0.058,
2011-07,0.070,
2011-10,0.050,
2012-01,0.141,
2012-04,0.105,
2012-07,0.170,
2012-10,0.114,
2013-01,0.081,
2013-04,0.095,
2013-07,0.083,
2013-10,0.066,
2014-01,0.032,
2014-04,0.031,
2014-07,0.036,
