"",BBEX3.M.PHP.EUR.BB.AC.A02,BBEX3.M.PHP.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = PHP ... / Philippines,
unit,PHP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:45,
1999-01,44.524,
1999-02,43.511,
1999-03,42.323,
1999-04,40.955,
1999-05,40.217,
1999-06,39.324,
1999-07,39.666,
1999-08,41.700,
1999-09,42.271,
1999-10,43.176,
1999-11,41.785,
1999-12,41.046,
2000-01,41.031,
2000-02,39.962,
2000-03,39.493,
2000-04,39.023,
2000-05,37.950,
2000-06,40.522,
2000-07,41.795,
2000-08,40.614,
2000-09,39.930,
2000-10,41.358,
2000-11,42.651,
2000-12,44.819,
2001-01,47.617,
2001-02,44.462,
2001-03,44.164,
2001-04,44.865,
2001-05,44.113,
2001-06,43.990,
2001-07,45.835,
2001-08,46.666,
2001-09,46.724,
2001-10,46.893,
2001-11,46.169,
2001-12,46.224,
2002-01,45.390,
2002-02,44.621,
2002-03,44.722,
2002-04,45.138,
2002-05,45.707,
2002-06,48.200,
2002-07,50.246,
2002-08,50.673,
2002-09,51.144,
2002-10,51.945,
2002-11,53.392,
2002-12,54.498,
2003-01,56.927,
2003-02,58.317,
2003-03,58.917,
2003-04,57.223,
2003-05,60.850,
2003-06,62.239,
2003-07,61.123,
2003-08,61.272,
2003-09,61.715,
2003-10,64.278,
2003-11,64.835,
2003-12,68.093,
2004-01,70.022,
2004-02,70.990,
2004-03,69.032,
2004-04,67.045,
2004-05,67.010,
2004-06,67.984,
2004-07,68.613,
2004-08,68.017,
2004-09,68.697,
2004-10,70.405,
2004-11,73.138,
2004-12,75.336,
2005-01,73.068,
2005-02,71.305,
2005-03,71.842,
2005-04,70.435,
2005-05,68.966,
2005-06,67.214,
2005-07,67.394,
2005-08,68.768,
2005-09,68.782,
2005-10,66.777,
2005-11,64.258,
2005-12,63.454,
2006-01,63.590,
2006-02,61.776,
2006-03,61.499,
2006-04,63.077,
2006-05,66.622,
2006-06,67.259,
2006-07,66.291,
2006-08,65.712,
2006-09,64.029,
2006-10,63.022,
2006-11,64.186,
2006-12,65.274,
2007-01,63.552,
2007-02,63.167,
2007-03,64.069,
2007-04,64.421,
2007-05,63.136,
2007-06,61.968,
2007-07,62.418,
2007-08,62.862,
2007-09,63.911,
2007-10,62.894,
2007-11,63.271,
2007-12,60.556,
2008-01,60.079,
2008-02,59.845,
2008-03,64.031,
2008-04,65.790,
2008-05,66.895,
2008-06,68.903,
2008-07,70.694,
2008-08,67.307,
2008-09,67.113,
2008-10,63.882,
2008-11,62.496,
2008-12,64.505,
2009-01,62.354,
2009-02,60.832,
2009-03,63.105,
2009-04,63.462,
2009-05,64.600,
2009-06,67.036,
2009-07,67.724,
2009-08,68.803,
2009-09,69.967,
2009-10,69.419,
2009-11,70.165,
2009-12,67.706,
2010-01,65.702,
2010-02,63.317,
2010-03,61.999,
2010-04,59.788,
2010-05,57.315,
2010-06,56.594,
2010-07,59.072,
2010-08,58.245,
2010-09,57.772,
2010-10,60.285,
2010-11,59.485,
2010-12,58.050,
2011-01,59.089,
2011-02,59.558,
2011-03,60.870,
2011-04,62.361,
2011-05,61.953,
2011-06,62.468,
2011-07,60.961,
2011-08,60.836,
2011-09,59.322,
2011-10,59.412,
2011-11,58.743,
2011-12,57.537,
2012-01,56.208,
2012-02,56.419,
2012-03,56.634,
2012-04,56.145,
2012-05,54.908,
2012-06,53.510,
2012-07,51.452,
2012-08,52.173,
2012-09,53.629,
2012-10,53.691,
2012-11,52.716,
2012-12,53.796,
2013-01,54.105,
2013-02,54.355,
2013-03,52.813,
2013-04,53.649,
2013-05,53.693,
2013-06,56.658,
2013-07,56.698,
2013-08,58.471,
2013-09,58.346,
2013-10,58.809,
2013-11,58.811,
2013-12,60.552,
2014-01,61.263,
2014-02,61.238,
2014-03,61.901,
2014-04,61.646,
2014-05,60.258,
2014-06,59.543,
2014-07,58.844,
2014-08,58.320,
2014-09,57.033,
2014-10,56.807,
2014-11,56.101,
2014-12,55.092,
2015-01,51.791,
2015-02,50.174,
"","General: Up to March 2005, ECB indicative rates. Since April 2005 euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
