"",BBK01.TUB608,BBK01.TUB608_FLAGS
"",Lending to euro area credit institutions related to monetary policy operations denominated in euro / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:39:58,
2002-01,112319,
2002-02,103681,
2002-03,106805,
2002-04,86633,
2002-05,101005,
2002-06,109088,
2002-07,98176,
2002-08,100279,
2002-09,104216,
2002-10,103934,
2002-11,111093,
2002-12,125479,
2003-01,124260,
2003-02,126339,
2003-03,130888,
2003-04,124981,
2003-05,151802,
2003-06,154986,
2003-07,144028,
2003-08,145162,
2003-09,151431,
2003-10,133008,
2003-11,145382,
2003-12,162280,
2004-01,157409,
2004-02,157631,
2004-03,141691,
2004-04,153748,
2004-05,173196,
2004-06,189437,
2004-07,196005,
2004-08,184756,
2004-09,173572,
2004-10,195055,
2004-11,199792,
2004-12,190432,
2005-01,185122,
2005-02,205162,
2005-03,184357,
2005-04,201715,
2005-05,190784,
2005-06,208068,
2005-07,215260,
2005-08,194497,
2005-09,211194,
2005-10,202968,
2005-11,195025,
2005-12,203927,
2006-01,227212,
2006-02,218896,
2006-03,224546,
2006-04,233033,
2006-05,227554,
2006-06,248795,
2006-07,253833,
2006-08,222993,
2006-09,234148,
2006-10,243289,
2006-11,231976,
2006-12,256348,
2007-01,232490,
2007-02,234991,
2007-03,237294,
2007-04,247415,
2007-05,236872,
2007-06,243416,
2007-07,248453,
2007-08,210382,
2007-09,223329,
2007-10,202192,
2007-11,207236,
2007-12,267955,
2008-01,172695,
2008-02,178671,
2008-03,213067,
2008-04,192537,
2008-05,184528,
2008-06,192401,
2008-07,184536,
2008-08,180354,
2008-09,223508,
2008-10,297149,
2008-11,263301,
2008-12,277685,
2009-01,245362,
2009-02,219434,
2009-03,186739,
2009-04,194588,
2009-05,225016,
2009-06,273473,
2009-07,231764,
2009-08,220922,
2009-09,205576,
2009-10,212908,
2009-11,206008,
2009-12,223610,
2010-01,210253,
2010-02,209065,
2010-03,206108,
2010-04,206079,
2010-05,210164,
2010-06,225585,
2010-07,114995,
2010-08,103751,
2010-09,85320,
2010-10,103030,
2010-11,92982,
2010-12,103076,
2011-01,82492,
2011-02,74868,
2011-03,71673,
2011-04,64818,
2011-05,52140,
2011-06,57849,
2011-07,45833,
2011-08,37560,
2011-09,31052,
2011-10,21297,
2011-11,21616,
2011-12,55797,
2012-01,48563,
2012-02,48022,
2012-03,74606,
2012-04,74907,
2012-05,79711,
2012-06,79528,
2012-07,78632,
2012-08,76812,
2012-09,76130,
2012-10,76638,
2012-11,72357,
2012-12,73093,
2013-01,49465,
2013-02,25771,
2013-03,21801,
2013-04,14777,
2013-05,12277,
2013-06,12778,
2013-07,12188,
2013-08,10806,
2013-09,10765,
2013-10,9303,
2013-11,9185,
2013-12,52054,
2014-01,31345,
2014-02,18187,
2014-03,24411,
2014-04,51370,
2014-05,60023,
2014-06,26063,
2014-07,17810,
2014-08,14347,
2014-09,21570,
2014-10,31295,
2014-11,27155,
2014-12,65572,
