"",BBK01.OECB18Q,BBK01.OECB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:32,
2002-01,0.220,
2002-04,0.217,
2002-07,0.211,
2002-10,0.184,
2003-01,0.168,
2003-04,0.169,
2003-07,0.148,
2003-10,0.148,
2004-01,0.138,
2004-04,0.131,
2004-07,0.127,
2004-10,0.207,
2005-01,0.218,
2005-04,0.229,
2005-07,0.206,
2005-10,0.236,
2006-01,0.223,
2006-04,0.216,
2006-07,0.224,
2006-10,0.208,
2007-01,0.225,
2007-04,0.220,
2007-07,0.202,
2007-10,0.191,
2008-01,0.185,
2008-04,0.186,
2008-07,0.176,
2008-10,0.184,
2009-01,0.173,
2009-04,0.163,
2009-07,0.163,
2009-10,0.154,
2010-01,0.156,
2010-04,0.149,
2010-07,0.149,
2010-10,0.140,
2011-01,0.143,
2011-04,0.143,
2011-07,0.145,
2011-10,0.140,
2012-01,0.136,
2012-04,0.130,
2012-07,0.123,
2012-10,0.125,
2013-01,0.122,
2013-04,0.121,
2013-07,0.125,
2013-10,0.123,
2014-01,0.117,
2014-04,0.116,
2014-07,0.113,
