"",BBDE1.Q.DE.Y.LCC1.A2N200000.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.A2N200000.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:20,
1996-01,86.3,
1996-04,84.6,
1996-07,86.6,
1996-10,88.1,
1997-01,89.0,
1997-04,87.6,
1997-07,88.4,
1997-10,89.0,
1998-01,88.3,
1998-04,89.1,
1998-07,90.0,
1998-10,91.3,
1999-01,89.4,
1999-04,90.7,
1999-07,90.4,
1999-10,91.4,
2000-01,94.2,
2000-04,94.8,
2000-07,96.0,
2000-10,97.7,
2001-01,97.1,
2001-04,98.3,
2001-07,98.4,
2001-10,98.9,
2002-01,101.6,
2002-04,99.9,
2002-07,101.1,
2002-10,100.8,
2003-01,104.4,
2003-04,105.1,
2003-07,104.9,
2003-10,104.4,
2004-01,105.0,
2004-04,105.5,
2004-07,105.0,
2004-10,103.7,
2005-01,104.1,
2005-04,103.6,
2005-07,101.5,
2005-10,101.7,
2006-01,103.6,
2006-04,102.3,
2006-07,103.2,
2006-10,103.3,
2007-01,100.4,
2007-04,99.6,
2007-07,99.2,
2007-10,99.3,
2008-01,98.6,
2008-04,98.1,
2008-07,100.6,
2008-10,102.8,
2009-01,101.9,
2009-04,102.9,
2009-07,103.4,
2009-10,103.3,
2010-01,105.6,
2010-04,106.2,
2010-07,107.2,
2010-10,107.4,
2011-01,107.5,
2011-04,108.7,
2011-07,108.2,
2011-10,109.8,
2012-01,109.9,
2012-04,111.3,
2012-07,111.8,
2012-10,112.1,
2013-01,115.9,
2013-04,112.2,
2013-07,111.6,
2013-10,113.2,
2014-01,113.0,
2014-04,115.4,
2014-07,115.1,
