"",BBK01.OEXK02M,BBK01.OEXK02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:06,
2002-01,0.832,
2002-04,0.868,
2002-07,0.844,
2002-10,0.868,
2003-01,0.820,
2003-04,1.016,
2003-07,0.958,
2003-10,0.967,
2004-01,0.996,
2004-04,1.028,
2004-07,1.037,
2004-10,0.990,
2005-01,1.026,
2005-04,1.202,
2005-07,1.241,
2005-10,1.272,
2006-01,1.328,
2006-04,1.301,
2006-07,1.235,
2006-10,1.214,
2007-01,1.163,
2007-04,1.180,
2007-07,1.134,
2007-10,1.144,
2008-01,1.088,
2008-04,1.154,
2008-07,1.044,
2008-10,1.141,
2009-01,1.528,
2009-04,1.736,
2009-07,1.798,
2009-10,1.784,
2010-01,1.899,
2010-04,1.979,
2010-07,2.028,
2010-10,2.033,
2011-01,2.134,
2011-04,2.173,
2011-07,2.385,
2011-10,2.446,
2012-01,2.473,
2012-04,2.455,
2012-07,2.619,
2012-10,2.608,
2013-01,2.724,
2013-04,2.770,
2013-07,2.858,
2013-10,2.855,
2014-01,2.824,
2014-04,2.770,
2014-07,2.970,
