"",BBK01.OEBB11R,BBK01.OEBB11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:28,
2002-01,0.132,
2002-04,0.130,
2002-07,0.132,
2002-10,0.128,
2003-01,0.123,
2003-04,0.143,
2003-07,0.155,
2003-10,0.145,
2004-01,0.153,
2004-04,0.147,
2004-07,0.146,
2004-10,0.149,
2005-01,0.143,
2005-04,0.147,
2005-07,0.153,
2005-10,0.151,
2006-01,0.124,
2006-04,0.129,
2006-07,0.140,
2006-10,0.136,
2007-01,0.128,
2007-04,0.131,
2007-07,0.130,
2007-10,0.090,
2008-01,1.477,
2008-04,0.096,
2008-07,0.091,
2008-10,0.107,
2009-01,0.166,
2009-04,0.185,
2009-07,0.099,
2009-10,0.125,
2010-01,0.178,
2010-04,0.182,
2010-07,0.194,
2010-10,0.167,
2011-01,0.182,
2011-04,0.174,
2011-07,0.179,
2011-10,0.182,
2012-01,0.191,
2012-04,0.187,
2012-07,0.178,
2012-10,0.177,
2013-01,0.211,
2013-04,0.220,
2013-07,0.223,
2013-10,0.224,
2014-01,0.220,
2014-04,0.208,
2014-07,0.205,
