"",BBK01.OEXB22N,BBK01.OEXB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:04,
2002-01,0.170,
2002-04,0.282,
2002-07,0.156,
2002-10,0.250,
2003-01,0.177,
2003-04,0.280,
2003-07,0.718,
2003-10,0.382,
2004-01,1.421,
2004-04,0.408,
2004-07,0.586,
2004-10,0.332,
2005-01,0.398,
2005-04,0.387,
2005-07,0.284,
2005-10,0.467,
2006-01,0.509,
2006-04,1.356,
2006-07,1.301,
2006-10,1.109,
2007-01,1.384,
2007-04,0.788,
2007-07,0.707,
2007-10,0.350,
2008-01,0.472,
2008-04,0.822,
2008-07,1.454,
2008-10,1.381,
2009-01,1.162,
2009-04,0.767,
2009-07,0.520,
2009-10,0.875,
2010-01,0.971,
2010-04,1.161,
2010-07,1.155,
2010-10,1.187,
2011-01,1.242,
2011-04,1.049,
2011-07,0.616,
2011-10,0.238,
2012-01,0.223,
2012-04,0.222,
2012-07,0.284,
2012-10,0.503,
2013-01,2.143,
2013-04,2.719,
2013-07,2.802,
2013-10,1.894,
2014-01,2.448,
2014-04,2.095,
2014-07,2.072,
