"",BBK01.QUF811,BBK01.QUF811_FLAGS
"",All foreign subsidiaries: Long-term loans and advances to non-residents / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:15:43,
2004-12,0.131,
2005-01,0.142,
2005-02,0.140,
2005-03,0.141,
2005-04,0.143,
2005-05,0.144,
2005-06,0.143,
2005-07,0.140,
2005-08,0.132,
2005-09,0.133,
2005-10,0.132,
2005-11,0.129,
2005-12,0.135,
2006-01,0.130,
2006-02,0.136,
2006-03,0.133,
2006-04,0.129,
2006-05,0.122,
2006-06,0.112,
2006-07,0.108,
2006-08,0.105,
2006-09,0.106,
2006-10,0.105,
2006-11,0.107,
2006-12,0.109,
2007-01,0.109,
2007-02,0.104,
2007-03,0.072,
2007-04,0.072,
2007-05,0.075,
2007-06,0.097,
2007-07,0.132,
2007-08,0.114,
2007-09,0.100,
2007-10,0.104,
2007-11,0.109,
2007-12,0.139,
2008-01,0.144,
2008-02,0.150,
2008-03,0.166,
2008-04,0.168,
2008-05,0.174,
2008-06,0.169,
2008-07,0.227,
2008-08,0.244,
2008-09,0.259,
2008-10,0.149,
2008-11,0.131,
2008-12,0.138,
2009-01,0.149,
2009-02,0.151,
2009-03,0.141,
2009-04,0.119,
2009-05,0.130,
2009-06,0.129,
2009-07,0.128,
2009-08,0.125,
2009-09,0.120,
2009-10,0.118,
2009-11,0.116,
2009-12,0.112,
2010-01,0.116,
2010-02,0.117,
2010-03,0.116,
2010-04,0.118,
2010-05,0.147,
2010-06,0.163,
2010-07,0.180,
2010-08,0.201,
2010-09,0.212,
2010-10,0.209,
2010-11,0.220,
2010-12,0.200,
2011-01,0.195,
2011-02,0.192,
2011-03,0.185,
2011-04,0.176,
2011-05,0.182,
2011-06,0.179,
2011-07,0.181,
2011-08,0.178,
2011-09,0.191,
2011-10,0.184,
2011-11,0.160,
2011-12,0.163,
2012-01,0.161,
2012-02,0.156,
2012-03,0.226,
2012-04,0.227,
2012-05,0.236,
2012-06,0.249,
2012-07,0.253,
2012-08,0.254,
2012-09,0.246,
2012-10,0.245,
2012-11,0.244,
2012-12,0.237,
2013-01,0.233,
2013-02,0.235,
2013-03,0.237,
2013-04,0.233,
2013-05,0.233,
2013-06,0.228,
2013-07,0.226,
2013-08,0.225,
2013-09,0.218,
2013-10,0.215,
2013-11,0.198,
2013-12,0.194,
2014-01,0.196,
2014-02,0.192,
2014-03,0.191,
2014-04,0.190,
2014-05,0.190,
2014-06,0.187,
2014-07,0.189,
2014-08,0.189,
2014-09,0.192,
2014-10,0.185,
2014-11,0.191,
