"",BBFB1.Q.N.DE.R5.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:41,
1991-01,15.220,
1991-04,57.752,
1991-07,46.689,
1991-10,137.272,
1992-01,190.014,
1992-04,87.832,
1992-07,210.336,
1992-10,215.392,
1993-01,61.281,
1993-04,23.416,
1993-07,140.883,
1993-10,85.667,
1994-01,105.890,
1994-04,55.247,
1994-07,119.726,
1994-10,108.362,
1995-01,112.399,
1995-04,105.980,
1995-07,173.746,
1995-10,131.252,
1996-01,137.849,
1996-04,126.465,
1996-07,169.269,
1996-10,113.331,
1997-01,126.164,
1997-04,-61.998,
1997-07,-7.986,
1997-10,57.390,
1998-01,13.160,
1998-04,-757.039,
1998-07,9.764,
1998-10,43.690,
1999-01,63.851,
1999-04,-86.214,
1999-07,141.976,
1999-10,100.691,
2000-01,123.455,
2000-04,11.507,
2000-07,108.954,
2000-10,142.848,
2001-01,228.034,
2001-04,29.757,
2001-07,148.372,
2001-10,79.427,
2002-01,38.685,
2002-04,3.434,
2002-07,201.128,
2002-10,119.469,
2003-01,171.247,
2003-04,27.155,
2003-07,201.015,
2003-10,191.233,
2004-01,439.921,
2004-04,274.084,
2004-07,382.284,
2004-10,390.955,
2005-01,126.839,
2005-04,133.051,
2005-07,423.894,
2005-10,456.286,
2006-01,261.824,
2006-04,70.197,
2006-07,-51.967,
2006-10,-31.407,
2007-01,-48.787,
2007-04,54.693,
2007-07,122.563,
2007-10,132.558,
2008-01,77.361,
2008-04,14.744,
2008-07,372.164,
2008-10,389.399,
2009-01,343.761,
2009-04,336.582,
2009-07,356.535,
2009-10,420.467,
2010-01,335.124,
2010-04,348.170,
2010-07,314.430,
2010-10,397.275,
2011-01,322.804,
2011-04,242.269,
2011-07,283.388,
2011-10,282.010,
2012-01,269.287,
2012-04,203.771,
2012-07,291.653,
2012-10,329.029,
2013-01,239.489,
2013-04,135.017,
2013-07,222.102,
2013-10,515.419,
2014-01,209.636,Provisional value
2014-04,88.660,Provisional value
2014-07,192.602,Provisional value
